Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2002,1,N/A,"When oil is poured into the breeding site of mosquitoes, it",slows down egg development,suffocates the pupae,kills the adults,deprives the larvae of water,B,biology,Jamb
2002,2,N/A,A flower that has both stamens and pistil is said to be,perfect,imperfect,staminate,pistillate,A,biology,Jamb
2002,3,N/A,An Amoeba and an unlaid chicken egg are,organelles,animal tissues,organisms,single cells,D,biology,Jamb
2002,4,N/A,"In corns, food is usually stored in the",roots,leaves,buds,stems,D,biology,Jamb
2002,5,diag_2002_q5_6.png,Ovoviparity is the type of fertilization exhibited by the organism labelled,IV,III,II,I,D,biology,Jamb
2002,6,diag_2002_q5_6.png,The correct evolutionary sequence of the organisms represented is,IV -> II -> III -> I,III -> I -> II -> IV,II -> III -> IV -> I,I -> III -> II -> IV,A,biology,Jamb
2002,7,N/A,The animals that move by means of flagella include,Planaria and Amoeba,Paramecium and Planaria,Chlamydomonas and Euglena,Amoeba and Hydra,C,biology,Jamb
2002,8,N/A,The structures found only in plant cells are,cell wall and chloroplast,cell membrane and lysosome,chromatin and nucleolus,cell membrane and cytoplasm,A,biology,Jamb
2002,9,N/A,"To select and retain the desirable trait of large body size which a farmer has observed in his herd, that farmer needs to",prevent diseases in his herd,inbreed the animals in his herd,feed the animals in the herd with more food,cross-breed his animals with a different herd,B,biology,Jamb
2002,10,N/A,"If XN is the dominant allele for normal vision and Xn the recessive allele for colour-blindness, a boy with the genotype XnY will",be totally blind,have normal vision,be a carrier of colour-blindness,be colour-blind,D,biology,Jamb
2002,11,N/A,What proportion of the offspring of a cross between two heterozygous parents will exhibit the recessive condition phenotypically?,3/4,1/4,4/4,1/2,B,biology,Jamb
2002,12,N/A,Genetic counseling is important when a marriage is planned between a,Rh+ woman and Rh+ man,Rh- woman and Rh+ man,Rh- woman and Rh- man,Rh+ woman and Rh- man,B,biology,Jamb
2002,13,N/A,The first four children of a couple were all girls. The probability that the fifth will also be a girl is,1/2,1/4,1/5,1/3,A,biology,Jamb
2002,14,N/A,"In a population of living things, the parameters of size, height, weight and colour are examples of",continuous variations,non-heritable variations,discontinuous variations,physiological variations,A,biology,Jamb
2002,15,N/A,Examples of organisms in which extracellular digestion occurs are,"roundworm, tapeworm and Hydra","Fungus, Loranthus and housefly","Rhizopus, housefly and Hydra","Rhizopus, sponges and earthworm",C,biology,Jamb
2002,16,N/A,In which of the following groups of fruits is the pericarp inseparable from the seed coat?,Follicle,Cypsela,Caryopsis,Nut,C,biology,Jamb
2002,17,N/A,The organ located within the duodenal loop in the mammal is the,liver,gall bladder,pancreas,spleen,C,biology,Jamb
2002,18,N/A,The presence of endoskeleton is characteristic of,insecta,coelenterata,invertebrata,vertebrata,D,biology,Jamb
2002,19,N/A,Which of the following pairs of organs is located in the anterior half of the mammalian body cavity?,Heart and ovary,Lungs and heart,Kidneys and heart,Kidneys and lungs,B,biology,Jamb
2002,20,N/A,"When a marine fish was taken from the ocean and put in a tank of fresh water, it died after a short period because",the body cells of the fish swelled and burst as a result of the hypotonic fresh water,there was no food in the tank so the fish starved,the tank was too small compared to the large ocean,the body cells of the fish shrank as their sap was hypertonic to the fresh water,A,biology,Jamb
2002,21,diag_2002_q21_22.png,The experimental set-up can be used to demonstrate that,photosynthesis occurs in the leaves of plants,light is necessary for photosynthesis,carbon (IV) oxide is necessary for photosynthesis,oxygen is necessary for photosynthesis,C,biology,Jamb
2002,22,diag_2002_q21_22.png,Which of the following statements is correct about the experiment?,The leaves outside the flask serve as control,The enclosed leaf will lose its green colour,The flask must be of the conical type,Caustic soda can be replaced with distilled water,A,biology,Jamb
2002,23,N/A,The mode of nutrition exhibited by a tapeworm is,saprophytic,parasitic,holozoic,symbiotic,B,biology,Jamb
2002,24,diag_2002_q24_25.png,The function of absorption is performed by the structure labelled,IV,III,I,II,D,biology,Jamb
2002,25,diag_2002_q24_25.png,The structure labelled I represents the,cortex,pericycle,xylem,phloem,B,biology,Jamb
2002,26,N/A,The mammalian erythrocytes differ from the leucocytes at maturity because the erythrocytes are,"amoeboid, and nucleated",amoeboid and enucleated,discoid and nucleated,discoid and enucleated,D,biology,Jamb
2002,27,diag_2002_q27_28.png,A hormone secreted at IV serves to,make the body react to emergencies,lower blood glucose level,raise the level of calcium ions in the blood,facilitate the development of facial hairs,D,biology,Jamb
2002,28,diag_2002_q27_28.png,The gland usually found in the position labelled I is the,pancreatic,pituitary,thyroid,adrenal,B,biology,Jamb
2002,29,N/A,The capture and digestion of insects by a pitcher plant is a special form of nutrition termed,chemosynthetic,autotrophic,saprophytic,heterotrophic,D,biology,Jamb
2002,30,N/A,A person that is obese must avoid meals containing,margarine and butter,rice and yam,carrots and oranges,beef and beans,A,biology,Jamb
2002,31,N/A,Tissue respiration is important for the,release of energy for body use,absorption of oxygen into the alveoli,exhalation of carbon (IV) oxide from the lungs,release of carbon (IV) oxide into the lungs,A,biology,Jamb
