Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2003,1,N/A,The umbrella-shaped fruiting body of a fully developed mushroom is the,mycelium,basidium,pileus,stipe,C,biology,Jamb
2003,2,diag_2003_q2_3.png,The processes of water loss and intake indicated by the arrows labelled I and II are respectively,evaporation and osmosis,exhalation and osmosis,osmosis and diffusion,urination and diffusion,B,biology,Jamb
2003,3,diag_2003_q2_3.png,A noticeable adaptation of the animal to its aquatic habitat is the possession of,webbed digits,four limbs,a wide mouth,large eyes,A,biology,Jamb
2003,4,N/A,The similarity among organisms belonging to the group will be least within each,order,family,species,kingdom,D,biology,Jamb
2003,5,N/A,Hermaphroditic reproduction can be found among the,annelids and molluscs,pisces and amphibians,coelenterates and platyhelminthes,arthropods and nematodes,A,biology,Jamb
2003,6,N/A,One distinctive feature in the life history of liverworts is that they exhibit,vegetative reproduction,alternation of generation,sexual reproduction,asexual reproduction,B,biology,Jamb
2003,7,diag_2003_q7_8.png,Food is stored in the structure labelled,III,IV,I,II,B,biology,Jamb
2003,8,diag_2003_q7_8.png,The structures that are common to both plant and animal cells are labelled,II and III,III and IV,IV and I,I and II,A,biology,Jamb
2003,9,N/A,The cell component that is present in a prokaryotic cell is the,ribosome,mitochondrion,chloroplast,nuclear envelope,A,biology,Jamb
2003,10,N/A,"In the egg of a bird, the embryo is located in the",yolk,embryo disc,chalaza,albumen,A,biology,Jamb
2003,11,N/A,An insect whose economic importance is both harmful and beneficial is the,butterfly,mosquito,blackfly,tsetsefly,A,biology,Jamb
2003,12,diag_2003_q12_13.png,The experiment is used to demonstrate that,transpiration occurs through the leaves,plants lose water through guttation,leaves are important to photosynthesis,water is necessary for photosynthesis,A,biology,Jamb
2003,13,diag_2003_q12_13.png,"In the experiment, the layer of oil serves to prevent water loss by",osmosis,transpiration,evaporation,guttation,C,biology,Jamb
2003,14,N/A,"If water that has been coloured red is poured at the base of a wilting plant, it will appear as a red stain in the cells of the",phloem,parenchyma,xylem,epidermis,C,biology,Jamb
2003,15,N/A,The stunted growth of a leguminous plant suffering from nitrogen deficiency may be corrected by inoculating the soil with,saprophytic bacteria,Rhizobium,denitrifying bacteria,Nitrosomonas,B,biology,Jamb
2003,16,N/A,"Organisms I, II, III and IV have surface volume ratios of 1:2, 1:3, 1:4 and 1:5 respectively. The organism that is likely to have the most complex transport system is",III,IV,II,I,B,biology,Jamb
2003,17,diag_2003_q17_18.png,The aim of the experiment is to demonstrate,the presence of carbon (IV) oxide in exhaled air,that in mammals gaseous exchange takes place in the lungs,the part played by the pleural cavity and diaphragm in respiration,that a large amount of oxygen is absorbed by the lungs,C,biology,Jamb
2003,18,diag_2003_q17_18.png,"In the experimental set-up, the rubber sheet represents the organ called",diaphragm,lungs,intercostal muscle,pleural cavity,A,biology,Jamb
2003,19,N/A,The part of the mammalian digestive system where absorption of nutrients takes place is the,duodenum,colon,ileum,oesophagus,C,biology,Jamb
2003,20,N/A,The dark reaction of photosynthesis involves the,release of oxygen and the splitting of water,photolysis of water and the production of starch,reduction of carbon (IV) oxide to organic compounds,splitting of water into hydrogen ions,C,biology,Jamb
