Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2008,1,N/A,"In terms of the number of individuals, which of the following taxa is most inclusive?",Order,Family,Class,Species,C,biology,Jamb
2008,2,N/A,A characteristic that can possibly be shared by both living and non-living organisms is,locomotion,irritability,increase in biomass,increase in size,D,biology,Jamb
2008,3,N/A,The cell of an onion bulb can be differentiated from a cheek cell by the presence of,plasmalemma,chloroplast,cell wall,nucleus,C,biology,Jamb
2008,4,diag_2008_q4_5.png,Which of the organisms is characterised by the possession of a chitinous exoskeleton?,I,II,III,IV,A,biology,Jamb
2008,5,diag_2008_q4_5.png,The type of reproduction illustrated in IV is,sexual,conjugation,binary fission,budding,D,biology,Jamb
2008,6,N/A,"In plants, the structure that performs a similar function with the testis in mammals is the",stigma,filament,anther,receptacle,C,biology,Jamb
2008,7,N/A,The bacteria type that are arranged in chains are the,Staphylococci,Clostridia,Streptococci,Bacilli,C,biology,Jamb
2008,8,N/A,The most abundant group of organisms in the animal kingdom is,Mammalia,Aves,Annelida,Insecta,D,biology,Jamb
2008,9,N/A,Radial symmetry is a feature common to the,platyhelminthes,nematodes,coelenterates,arthropods,C,biology,Jamb
2008,10,N/A,Which of the following is used mainly for balancing in fish?,The caudal fin,The pectoral fin,The anal fin,The dorsal fin,B,biology,Jamb
2008,11,N/A,The beak of a duck is structurally adapted for,scooping and sieving food,catching and grasping food,picking and cracking food,boring and sucking food,A,biology,Jamb
2008,12,N/A,The most important characteristic that makes reptiles to conquer terrestrial habitats is the possession of,long tail,scaly skin,sharp claw,amniotic egg,D,biology,Jamb
2008,13,N/A,"In a dicotyledonous stem, the zone between the epidermis and the pericycle is the",cortex,stele,xylem,phloem,A,biology,Jamb
2008,14,N/A,The order of passage of food in the digestive system is,ileum -> caecum -> large intestine -> rectum,ileum -> colon -> caecum -> rectum,ileum -> caecum -> colon -> rectum,colon -> caecum -> ileum -> rectum,C,biology,Jamb
2008,15,N/A,Insectivorous plants trap and kill their prey to derive,phosphorous,calcium,nitrogen,zinc,C,biology,Jamb
2008,16,diag_2008_q16_17.png,Water reabsorption takes place in,II and III,III and IV,I and IV,I and III,B,biology,Jamb
2008,17,diag_2008_q16_17.png,The vessel that carries blood from I to II is the,pulmonary artery,pulmonary vein,carotid artery,jugular vein,A,biology,Jamb
2008,18,N/A,"In the alimentary system of a bird, the function of teeth is carried out by the",crop,beak,gizzard,tongue,C,biology,Jamb
2008,19,N/A,What will happen when two equal sized pieces of unripe pawpaw labelled X and Y are dropped into equal volumes of concentrated salt solution and distilled water respectively?,Pawpaw X will become turgid,Both will increase in size,Pawpaw Y will become turgid,Both will decrease in size,C,biology,Jamb
2008,20,N/A,Exhaled air differs from inhaled air in that it,contains less amount of carbon (IV) oxide,is usually lower in temperature,often has more oxygen,usually has more water vapour,D,biology,Jamb
