Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2011,1,N/A,Which Question Paper Type of Biology is given to you?,Type A,Type B,Type C,Type D,A,biology,Jamb
2011,2,N/A,The function of the head in male Agama lizards is to,attract female lizards for mating purposes,warn predators of the distastefulness of the animal,conceal and camouflage the animal from predators,scare other males from the territory,A,biology,Jamb
2011,3,N/A,In which of the following species is the biomass of an individual the smallest?,Bufo sp.,Spirogyra sp.,Tilapia sp.,Agama sp.,B,biology,Jamb
2011,4,N/A,Seed plants are divided into,monocotyledons and dicotyledons,thallophytes and bryophytes,tracheophytes and ferns,angiosperms and gymnosperms,D,biology,Jamb
2011,5,N/A,In which of the following groups of vertebrates is parental care mostly exhibited?,Aves,Mammalia,Reptilia,Amphibia,B,biology,Jamb
2011,6,diag_2011_q6_to_8.png,Which of the organisms represented are notable agricultural pests?,II and III,I and III,II and IV,I and IV,D,biology,Jamb
2011,7,diag_2011_q6_to_8.png,An economic importance of the organism represented by IV is that,its faeces pollutes drinking water,it helps in the control of mosquito larvae,it transmits water-borne diseases to humans,it is destructive to farm crops,D,biology,Jamb
2011,8,diag_2011_q6_to_8.png,The adult form of III is a vector of,cholera,elephantiasis,sleeping sickness,river blindness,D,biology,Jamb
2011,9,N/A,The adaptive importance of nuptial flight from termite colonies is to,ensure cross-breeding between members of one colony and another,expel the reproductives so as to provide enough food for other members,disperse the reproductives in order to establish new colonies,provide abundant food for birds and other animals during the early rains,C,biology,Jamb
2011,10,diag_2011_q10_11.png,The gas evolved in the process is,oxygen,carbon (II) oxide,carbon (IV) oxide,nitrogen,C,biology,Jamb
2011,11,diag_2011_q10_11.png,The experimental set-up above is used to demonstrate the process of,fermentation,plasmolysis,diffusion,photosynthesis,A,biology,Jamb
2011,12,N/A,Which of the following can cause shrinkage of living cells?,Deionized water,Hypertonic solution,Hypotonic solution,Isotonic solution,B,biology,Jamb
2011,13,N/A,Which of the following is true of leucocytes?,They are large and nucleated,They are involved in blood clotting,They are respiratory pigments,They are most numerous and ramify all cells,A,biology,Jamb
2011,14,N/A,The conversion of a nutrient into a molecule in the body of a consumer is referred to as,absorption,inhibition,digestion,assimilation,D,biology,Jamb
2011,15,N/A,The ability of a living organism to detect and respond to changes in the environment is referred to as,growth,taxis,locomotion,irritability,D,biology,Jamb
2011,16,N/A,"In mammals, the exchange of nutrients and metabolic products occurs in the",trachea,lymph,lungs,oesophagus,B,biology,Jamb
2011,17,N/A,An example of an endospermous seed is,cotton seed,bean seed,maize grain,cashew nut,C,biology,Jamb
2011,18,N/A,I. Parasitism - Sundew. II. Autotrophism - Amoeba. III. Saprophytism - Alga. IV. Heterotrophism - Agama. Which of the above modes of nutrition is correctly matched with the organism that exhibits it?,IV,I,II,III,A,biology,Jamb
2011,19,N/A,I. Test tube containing cane sugar and water. II. Test tube containing cane sugar and diluted acid. III. Test tube containing cane sugar and its degrading enzyme. In which of the test tubes will glucose be detected after complete hydrolysis?,I only,I II and III,I and II only,II and III only,D,biology,Jamb
2011,20,N/A,The enzyme involved in the hydrolysis is,sucrase,maltase,rennin,erepsin,A,biology,Jamb
2011,21,N/A,The part of the mammalian ear responsible for the maintenance of balance is the,perilymph,ossicles,cochlea,pinna,A,biology,Jamb
2011,22,N/A,The path followed by air as it passes through the lungs in mammals is,trachea -> bronchioles -> bronchi -> alveoli,bronchioles -> alveoli -> bronchi -> trachea,trachea -> bronchi -> bronchioles -> alveoli,bronchi -> trachea -> alveoli -> bronchioles,C,biology,Jamb
2011,23,N/A,The movement response of a cockroach away from a light source can be described as,negative phototropism,positive phototropism,positive phototaxism,negative phototaxism,D,biology,Jamb
2011,24,N/A,The vascular tissues in higher plants are responsible for,transpiration pull,the transport of gases and water,the movement of food and water,suction pressure,C,biology,Jamb
2011,25,N/A,"Which of the following organs regulates the levels of water, salts, hydrogen ions and urea in the mammalian blood?",Bladder,Colon,Liver,Kidney,D,biology,Jamb
2011,26,N/A,The sequence of the one-way gaseous exchange mechanism in a fish is,mouth -> operculum -> gills,mouth -> gills -> operculum,operculum -> gills -> mouth,gills -> operculum -> mouth,B,biology,Jamb
2011,27,N/A,The type of asexual reproduction that is common to both Paramecium and protists is,fragmentation,fission,budding,sporulation,B,biology,Jamb
2011,28,N/A,"In nature, plants and animals are perpetually engaged in mutualism because",they utilize respiratory wastes of each other,they are neighbours,they are rivals,all animals rely on food produced by plants,A,biology,Jamb
2011,29,N/A,"In an experiment to determine the percentage of humus and water in a soil sample, the following results were obtained: Weight of the evaporating basin alone = 80.5g; Weight of basin and soil = 101.5g; Weight of basin and roasted soil = 95.5g; Weight after drying the soil in the oven = 99.0g. The percentage of humus in the soil sample is",26.7%,16.2%,16.7%,17.6%,C,biology,Jamb
2011,30,N/A,An example of a filter-feeding animal is,whale,mosquito,shark,butterfly,A,biology,Jamb
2011,31,N/A,Which of the following is a feature of the population pyramid of a developing country?,low death rate,short lifespan,long lifespan,low birth rate,B,biology,Jamb
2011,32,N/A,The interaction of a community of organisms with its abiotic environment constitutes,an ecosystem,a microhabitat,a niche,a food chain,A,biology,Jamb
2011,33,N/A,The vector of the malaria parasite is a,male culex mosquito,female culex mosquito,female Aedes mosquito,female Anopheles mosquito,D,biology,Jamb
2011,34,N/A,Which of the following instruments is used to measure relative humidity?,Hygrometer,Anemometer,Hydrometer,Thermometer,A,biology,Jamb
2011,35,N/A,Exo-erythrocytic phase of the life cycle of malaria parasite occurs in the,Malpighian tubules of mosquito,brain of humans,liver of humans,reticuloendothelial cells of humans,C,biology,Jamb
2011,36,N/A,Habitats are generally classified into,arboreal and marine biomes,microhabitats and macrohabitats,biotic and abiotic,aquatic and terrestrial,D,biology,Jamb
2011,37,N/A,Dracunculiasis can be contracted through,bathing in contaminated water,bites of blackfly,eating contaminated food,drinking contaminated water,D,biology,Jamb
2011,38,N/A,Which of the following groups of environmental factors are density-dependent?,"Food, predation, disease and accumulation of metabolites","Temperature, food, disease and light","Food, salinity, accumulation of metabolites and light","Temperature, salinity, predation, and disease",A,biology,Jamb
2011,39,N/A,"Millet, sorghum, maize and onions are common crops grown in Nigeria in the",montane forests,Sahel savanna,tropical rainforests,Sudan savanna,D,biology,Jamb
2011,40,N/A,In which of the following biomes is the south western part of Nigeria located?,Tropical woodland,Desert,Temperate forest,Tropical rainforest,D,biology,Jamb
2011,41,N/A,Lack of space in a population could lead to an increase in,disease rate,drought,water scarcity,Birth rate,A,biology,Jamb
2011,42,N/A,The inheritable characters that are determined by a gene located only on the X-chromosome is,homozygous,dominant,recessive,sex-linked,D,biology,Jamb
2011,43,N/A,"If the cross of a red-flowered plant with a white-flowered plant produces a pink-flowered plant, it is an example of",mutation,linkage,codominance,incomplete dominance,D,biology,Jamb
2011,44,N/A,Which of the following theories was NOT considered by Darwin in his evolutionary theory?,Use and disuse,Competition,Variation,Survival of the fittest,A,biology,Jamb
2011,45,N/A,The crossing of individuals of the same species with different genetic characters is,non-disjunction,inbreeding,cross breeding,polygenic inheritance,C,biology,Jamb
2011,46,N/A,The number of alleles controlling blood groups in humans is,5,2,3,4,C,biology,Jamb
2011,47,N/A,"During blood transfusion, agglutination may occur as a result of the reaction between",two different antibodies,similar antigens and antibodies,contrasting antigens and antibodies,two different antigens,B,biology,Jamb
