Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2009,1,N/A,What is the level of organization of an onion bulb?,Tissue,Organ,Systemic,Organismal,B,biology,Jamb
2009,2,N/A,A characteristic exhibited by all living organisms is,sexual reproduction,aerobic respiration,the ability to move from one place to another,the ability to remove unwanted substances,D,biology,Jamb
2009,3,N/A,"In a cell, the genes are carried by",nuclear membranes,chromatin threads,lysosomes,mitochondria,B,biology,Jamb
2009,4,N/A,Alternation of asexual and sexual modes of reproduction is found in,blue-green algae,Euglena,fern,maize,C,biology,Jamb
2009,5,N/A,The first terrestrial vertebrates evolved from,Pisces,Reptilia,Amphibia,Mammalia,A,biology,Jamb
2009,6,N/A,"In plants, the structures that play roles similar to the arteries and veins of animals are the",xylem and phloem,root hairs and xylem,lenticels and phloem,roots and stems,A,biology,Jamb
2009,7,N/A,A blue-green alga is not a protophyte because,it is aquatic,its cells are prokaryotic,it cannot move,it is not a green plant,B,biology,Jamb
2009,8,diag_2009_q8_9.png,The structure labelled X is for,attachment,feeding,seeing,breathing,A,biology,Jamb
2009,9,diag_2009_q8_9.png,The habitat of the organism is,slow moving streams and marshes,the stomach of large mammals,under leaf litter on forest floor,the small intestine of large vertebrates,D,biology,Jamb
2009,10,N/A,The feature that makes locomotion in water easy for fish is the,scaly body,slimy body,streamlined body,lateral line,C,biology,Jamb
2009,11,N/A,Bird toes suitable for digging have claws that are,blunt,curved,hooked,sharp,A,biology,Jamb
2009,12,N/A,Chewing the cud is an adaptation peculiar to,herbivores,omnivores,rodents,ruminants,D,biology,Jamb
2009,13,diag_2009_q13_14.png,The structure that controls loss of water vapour during transpiration is labelled,I,II,III,IV,D,biology,Jamb
2009,14,diag_2009_q13_14.png,The part labelled I is the,spongy mesophyll,upper epidermis,cuticle,vein,B,biology,Jamb
2009,15,N/A,Which of the following is an example of a carnivorous plant?,Hydra,Bladderwort,Yeast,Spirogyra,B,biology,Jamb
2009,16,diag_2009_q16_17.png,Emulsification of fats takes place in the part labelled,I,II,III,IV,B,biology,Jamb
2009,17,diag_2009_q16_17.png,The content of the part labelled III is usually,neutral,alkaline,acidic,saline,C,biology,Jamb
2009,18,N/A,The part of the alimentary system of a bird where food is ground into small particles is the,cloaca,stomach,crop,gizzard,D,biology,Jamb
2009,19,N/A,Which of the following describes the sequence of blood flow from the heart to a tissue?,Heart -> artery -> arteriole -> tissue,Heart -> vein -> venule -> tissue,Heart -> venule -> vein -> tissue,Heart -> arteriole -> artery -> tissue,A,biology,Jamb
2009,20,N/A,The enzymes of the glycolytic pathway are located in the,mitochondria,gastric juice,plasma,cytoplasm,D,biology,Jamb
2009,21,N/A,"In insects, the structure that performs the same function as the kidney in man is the",nephridium,flame cell,Malpighian tubule,trachea,C,biology,Jamb
2009,22,N/A,The axial skeleton is found in the,skull ribs vertebral column and breastbone,skull humerus vertebral column and ribs,breastbone clavicle ribs and vertebral column,femur sternum ulna and skull,A,biology,Jamb
2009,23,diag_2009_q23_24.png,The male sex cells are contained in the part labelled,I,II,III,IV,A,biology,Jamb
2009,24,diag_2009_q23_24.png,The likely pollinating agent of the flower is,wind,water,insect,man,C,biology,Jamb
2009,25,N/A,The reproductive system of a male mammal is made up of,claspers prostate gland sperm duct and vas deferens,testis prostate gland sperm duct and urethra,oviduct urethra testis and sperm duct,testis uterus prostate gland and sperm duct,B,biology,Jamb
2009,26,N/A,"In a bean seed, absorption of water at the beginning of germination is through the",hilum,micropyle,testa,plumule,B,biology,Jamb
2009,27,diag_2009_q27_28.png,The eye defect illustrated is,myopia,hypermetropia,astigmatism,cataract,B,biology,Jamb
2009,28,diag_2009_q27_28.png,The function of the correcting lens is to,diverge incoming rays,converge incoming rays,reflect incoming rays,screen incoming rays,B,biology,Jamb
2009,29,N/A,The most important ecological factor in a terrestrial environment is,rainfall,humidity,wind,soil,A,biology,Jamb
2009,30,N/A,The association between bacteria residing in the caecum and the ruminant is,parasitism,predation,saprophytism,mutualism,D,biology,Jamb
2009,31,N/A,A marine protozoan is likely to have no contractile vacuole mainly because the cytoplasm is,isotonic to sea water,hypotonic to sea water,hypertonic to sea water,impervious to sea water,A,biology,Jamb
2009,32,N/A,"In freshwater marshes and swamps, the most important abiotic factor that organisms have to adapt to is",nature of substratum,high salinity,high temperature,low pH,A,biology,Jamb
2009,33,N/A,"Which of the following biomes is characterized by very low rainfall, cold nights, hot days and fast blooming plants?",Northern Guinea savanna,Southern Guinea savanna,Tropical desert,Montane forest,C,biology,Jamb
2009,34,diag_2009_q34_35.png,The zone of physiological stress is represented by,I and II,II only,II and III,I and III,D,biology,Jamb
2009,35,diag_2009_q34_35.png,The optimum temperature for the growth of the organism is,25°C,50°C,75°C,100°C,B,biology,Jamb
2009,36,N/A,"Mass of crucible = 10g. Mass of a crucible and soil before heating = 30g. Mass of a crucible and soil after heating = 22g. From the information above, determine the percentage of water in the given soil sample.",20%,25%,40%,50%,C,biology,Jamb
2009,37,N/A,Which of the following diseases are associated with water? I. Onchocerciasis II. Schistosomiasis III. Salmonellosis IV. Meningitis,I and II only,II III and IV,I II and III,II and IV,C,biology,Jamb
2009,38,N/A,The major cause of global warming is the,burning of fossil fuel,construction of dams,use of electricity,exploration of space,A,biology,Jamb
2009,39,N/A,The uniqueness of an individual organism in a population is accounted for by,evolution,variation,adaptation,mutation,B,biology,Jamb
2009,40,N/A,A phenotypic character with intermediate forms that can be graded from one extreme to the other is referred to as,discontinuous variation,continuous variation,a mutant,a genome,B,biology,Jamb
2009,41,N/A,A farmer's assumption that the seed from a good harvest will produce a good yield is explained by the theory of,evolution,adaptation,variation,heredity,D,biology,Jamb
2009,42,N/A,"In Mendelian inheritance, discontinuous characters are controlled by the",centromeres,alleles,chromosomes,chromatids,B,biology,Jamb
2009,43,N/A,A woman with the ability to roll her tongue (Tt) marries a man who cannot roll his tongue (tt). What is the probability of each of their children being a tongue roller?,100%,75%,50%,25%,C,biology,Jamb
2009,44,N/A,A health condition that is known to have resulted from gene mutation is,haemophilia,colour blindness,sickle-cell anaemia,sleeping sickness,C,biology,Jamb
2009,45,N/A,Plants that grow in an area that is neither too wet nor too dry are,xerophytes,mesophytes,epiphytes,hydrophytes,B,biology,Jamb
2009,46,N/A,The part of a domestic fowl responsible for preventing heat loss is the,filoplume,contour feather,down feather,quill,C,biology,Jamb
2009,47,N/A,Which of the following animals is most adapted for water conservation?,Earthworms,Mammals,Flatworms,Insects,D,biology,Jamb
2009,48,N/A,The specialized pigment cells that are involved in colouration and colour change in animals are the,xanthophyll,chromatophores,chlorophyll,melanin,B,biology,Jamb
2009,49,N/A,"During the dry season in the tropics, the body metabolism of some animals slows to a minimal level in a process referred to as",hibernation,aestivation,dormancy,senescence,B,biology,Jamb
2009,50,N/A,"According to Darwin, the driving force behind evolutionary change is",natural selection,genetic drift,mutation,gene flow,A,biology,Jamb
