Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2012,1,N/A,Which Question Paper Type of Biology as indicated above is given to you?,Type Green,Type Purple,Type Red,Type Yellow,C,biology,Jamb
2012,2,diag_2012_q2_3.png,The organelle responsible for heredity is labelled,I,II,III,IV,B,biology,Jamb
2012,3,diag_2012_q2_3.png,The part labelled IV is the,mitochondrion,cell wall,endoplasmic reticulum,nucleus,C,biology,Jamb
2012,4,N/A,Which of the following is most advanced in the evolutionary trend of animals?,Liverfluke,Earthworm,Snail,Cockroach,D,biology,Jamb
2012,5,N/A,Which of the following is the lowest category of classification?,Class,Species,Family,Genus,B,biology,Jamb
2012,6,N/A,Plants that show secondary growth are usually found among the,thallophytes,pteridophytes,monocotyledons,dicotyledons,B,biology,Jamb
2012,7,N/A,The fungi are a distinct group of eukaryotes because they have,spores,no chlorophyll,many fruiting bodies,sexual and asexual reproduction,B,biology,Jamb
2012,8,N/A,An arthropod that is destructive at the early stage of its life cycle is,butterfly,mosquito,bee,millepede,A,biology,Jamb
2012,9,N/A,An animal body that can be cut along its axis in any plane to give two identical parts is said to be,radially symmetrical,bilaterally symmetrical,asymmetrical,symmetrical,A,biology,Jamb
2012,10,N/A,Which of the following possesses mammary gland?,Dogfish,Whale,Shark,Catfish,B,biology,Jamb
2012,11,N/A,The feature that links birds to reptiles in evolution is the possession of,feathers,beak,skeleton,scales,D,biology,Jamb
2012,12,N/A,Countershading is an adaptive feature that enables animals to,fight enemies,remain undetected,warn enemies,attract mates,B,biology,Jamb
2012,13,N/A,Which of the following plant structures lacks a waterproof cuticle?,Leaf,Stem,Root,Shoot,C,biology,Jamb
2012,14,N/A,"In the mammalian male reproductive system, the part that serves as a passage for both urine and semen is the",urethra,ureter,bladder,seminal vesicle,A,biology,Jamb
2012,15,N/A,"In plants, which of the following is required in minute quantities for growth?",Copper,Potassium,Phosphorus,Sodium,A,biology,Jamb
2012,16,N/A,Which of the following organisms is both parasitic and autotrophic?,Sundew,Loranthus,Rhizopus,Tapeworm,A,biology,Jamb
2012,17,N/A,A function of the hydrochloric acid produced in the human stomach during digestion is to,neutralise the effect of bile,coagulate milk protein and emulsify fats,stop the action of ptyalin,break up food into smaller particles,C,biology,Jamb
2012,18,N/A,Which of the following is a polysaccharide?,Glucose,Sucrose,Maltose,Cellulose,D,biology,Jamb
