Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2006,1,N/A,Night-blindness results from a deficiency of,vitamin E,vitamin A,vitamin K,vitamin C,B,biology,Jamb
2006,2,N/A,The product of excretion common to the mammalian kidney, lung and skin is,mineral salt,carbon (IV) oxide,water,urea,biology,Jamb
2006,3,diag_2006_q3_4.png,Sexual reproduction is illustrated in,II,I,III,IV,B,biology,Jamb
2006,4,diag_2006_q3_4.png,A plant that exhibits the type of reproduction shown in IV is,Cola,Ginger,Bryophyllum,Sugar cane,C,biology,Jamb
2006,5,N/A,An increase in air pressure in the lungs is due to the,increase in the volume of the thoracic cavity,upward movement of the ribs,relaxation of the diaphragm,contraction of intercostal muscles,C,biology,Jamb
2006,6,N/A,One basic similarity between nervous and endocrine systems is that they both,produce widespread effects,transmit very fast impulses,involve the use of chemical substances,produce precise and short-lived effects,C,biology,Jamb
2006,7,N/A,The organ situated in the pericardial cavity of a mammal is the,heart,liver,stomach,spleen,A,biology,Jamb
2006,8,N/A,A unique characteristic of the cervical vertebrae is the presence of,large centrum,long transverse processes,zygapophysis,vertebrarterial canal,D,biology,Jamb
2006,9,N/A,In rabbits, the chamber of the heart that receives oxygenated blood from the lungs is the,left ventricle,left auricle,right ventricle,right auricle,biology,Jamb
2006,10,diag_2006_q10_11.png,The part labelled IV is for,excretion,nourishment,protection,respiration,C,biology,Jamb
2006,11,diag_2006_q10_11.png,The organ through which the embryo receives food, water and oxygen is labelled,III,IV,II,I,biology,Jamb
2006,12,N/A,The formation of water in tissue respiration results from the,breakdown of water molecules,reduction of oxygen by hydrogen,reduction of carbon (IV) oxide,combination of water molecules,B,biology,Jamb
2006,13,N/A,Water is necessary for a germinating seed because it,promotes aerobic respiration,activates the enzymes,wets the soil for proper germination,protects the seed from desiccation,B,biology,Jamb
2006,14,N/A,Which of the following produces both hormones and enzymes?,Ileum,Pancreas,Gall bladder,Kidney,B,biology,Jamb
