Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2007,1,N/A,The organs that will be most useful to giant African rats in finding their way in underground habitats are the,vibrissae,nostrils,eyes,tails,A,biology,Jamb
2007,2,N/A,The increasing order of the particle size in the following soil types is,clay -> silt -> sand -> gravel,silt -> sand -> clay -> gravel,sand -> clay -> silt -> gravel,gravel -> sand -> silt -> clay,A,biology,Jamb
2007,3,N/A,The causative agent of bird flu is a,protozoan,virus,bacterium,fungus,B,biology,Jamb
2007,4,N/A,Which of the following is an example of parasitism?,Fungi growing on a dead tree branch,A squirrel living in an abandoned nest of a bird,Mistletoe growing on an orange tree,Cattle egrets taking ticks from the body of cattle,C,biology,Jamb
2007,5,N/A,One adaptation shown by hydrophytes in fresh water habitats is the,leaves reduced to spines,poor development of roots and xylem tissues,waxy cuticle on shoot surface,well-developed roots and supporting system,B,biology,Jamb
2007,6,N/A,A crucible of 5 gm weighed 10gm after filling with fresh soil. It is then heated in an oven at 100°C for 1 hour. After cooling in a desiccator, the weight was 8gm. The percentage of water in the soil is,80%,60%,20%,40%,biology,Jamb
2007,7,N/A,The highest level of ecological organization is the,ecosystem,population,biosphere,niche,C,biology,Jamb
2007,8,N/A,The mangrove swamp in Nigeria is restricted to the,Sahel savanna,Sudan savanna,Guinea savanna,Tropical rainforest,D,biology,Jamb
2007,9,N/A,A biotic factor which affects the distribution and abundance of organisms in a terrestrial habitat is,temperature,competition,pH,light,B,biology,Jamb
2007,10,N/A,In which of the following Nigerian states can mountain vegetation be found?,Taraba,Enugu,Bauchi,Plateau,D,biology,Jamb
2007,11,diag_2007_q11_12.png,The type of protective adaptation exhibited by the animal is,disruptive colouration,flash colouration,countershading colouration,warning colouration,C,biology,Jamb
2007,12,diag_2007_q11_12.png,The structure labelled I is,photo sensitive,radiosensitive,chemoreceptive,tactile,D,biology,Jamb
2007,13,N/A,Which of the following factors can bring about competition in a population?,Dispersion,Emigration,Drought,Mortality,C,biology,Jamb
2007,14,N/A,The theory which supports the view that the large muscles developed by an athlete will be passed on to the offspring was proposed by,Lamarck,Darwin,Mendel,Pasteur,A,biology,Jamb
2007,15,N/A,"In lizards, the lowering of the gular fold is used to",catch insects,attract mates,defend their territory,frighten enemies,B,biology,Jamb
2007,16,N/A,An example of a fish that aestivates is,shark,croaker,lung fish,cat fish,C,biology,Jamb
2007,17,N/A,"In mammals, the organ directly on top of the kidney is the",thyroid gland,adrenal gland,pancreas,prostate gland,B,biology,Jamb
2007,18,diag_2007_q18_19.png,The diagram shows that the organisms are,hermaphrodite,viviparous,oviparous,ovoviviparous,C,biology,Jamb
2007,19,diag_2007_q18_19.png,The breeding posture illustrated in the diagram is known as,mating,amplexus,courtship display,reproductive swimming,B,biology,Jamb
2007,20,N/A,The photosynthetic pigments include,chlorophyll and carotenoids,chloroplasts and cytochromes,melanin and haemoglobin,carotenoids and haemoglobin,A,biology,Jamb
2007,21,diag_2007_q21_22.png,Insulin is produced by the endocrine organ labelled,IV,III,II,I,B,biology,Jamb
2007,22,diag_2007_q21_22.png,The function of the structure labelled I is to,stimulate the development of secondary sexual characters,prepare the body for any emergency,maintain proper glucose concentration in the blood,regulate activities of other endocrine glands,D,biology,Jamb
2007,23,N/A,Monocot stems differ from dicot stems in that monocots have,no cambium,no pith,fewer vascular bundles,phloems with parenchyma,A,biology,Jamb
2007,24,N/A,The opening and closing of the stoma are regulated by,transpiration,respiration,diffusion,osmosis,D,biology,Jamb
2007,25,N/A,Stunted growth and poor root development are a result of a deficiency in,sulphur,phosphorus,calcium,iron,B,biology,Jamb
2007,26,N/A,The pancreas secretes enzymes for the digestion of,fats proteins and carbohydrates,fats vitamins and cellulose,fats carbohydrates and vitamins,proteins cellulose and minerals,A,biology,Jamb
2007,27,N/A,Pineapple is an example of,dehiscent fruit,an aggregate fruit,a composite fruit,a simple fruit,C,biology,Jamb
2007,28,N/A,The correct sequence of the movement of urea during urine formation is,glomerulus -> Bowman's capsule -> convoluted tubule -> Henle's loop -> collecting tubule,glomerulus -> Bowman's capsule -> convoluted tubule -> Henle's loop -> convoluted tubule -> collecting tubule,convoluted tubule -> glomerulus -> Henle's loop -> Bowman's capsule -> collecting tubule,convoluted tubule -> Bowman's capsule -> Henle's loop -> glomerulus -> collecting tubule,B,biology,Jamb
2007,29,diag_2007_q29_30.png,Oxygenated blood is pumped to the entire body from the part labelled,IV,III,II,I,A,biology,Jamb
2007,30,diag_2007_q29_30.png,The part labelled I is the,pulmonary artery,vena cava,aorta,bicuspid valve,C,biology,Jamb
2007,31,N/A,The waste product of plants used in conversion of hide to leather is,gum,alkaloid,tannin,resin,C,biology,Jamb
2007,32,N/A,Which of the following uses diffusion as the principal method of gaseous exchange?,Lizard,Grasshopper,Rat,Earthworm,D,biology,Jamb
2007,33,diag_2007_q33_34.png,The experiment demonstrates,geotropism,thigmotropism,phototropism,hydrotropism,A,biology,Jamb
2007,34,diag_2007_q33_34.png,The part marked I will contain a high concentration of,ascorbic acid,abscisic acid,ethylene,auxin,D,biology,Jamb
2007,35,N/A,Which of the following has the most primitive respiratory system?,Snail,Fish,Insect,Mouse,A,biology,Jamb
2007,36,diag_2007_q36_37.png,The part labelled IV is responsible for,osmoregulation,respiration,ingestion,locomotion,A,biology,Jamb
2007,37,diag_2007_q36_37.png,The organelle responsible for sexual reproduction is,II,I,IV,III,D,biology,Jamb
2007,38,N/A,A water medium is necessary for fertilization in,fungi,conifers,ferns,angiosperms,C,biology,Jamb
2007,39,N/A,The chromosomes of members of the kingdom Monera are within the,nucleoplasm,cytoplasm,nucleus,nucleolus,B,biology,Jamb
