Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2010,1,N/A,Which Biology Question Paper Type is given to you?,Type A,Type B,Type C,Type D,C,biology,Jamb
2010,2,N/A,Which of the following characterizes a mature plant cell?,The cytoplasm fills up the entire cell space,The nucleus is pushed to the centre of the cell,The cell wall is made up of cellulose,The nucleus is small and irregular in shape,C,biology,Jamb
2010,3,N/A,Which of the following is NOT a function of the nucleus of a cell?,It controls the life processes of the cell,It translates genetic information for the manufacture of proteins,It stores and carries hereditary information,It is a reservoir of energy for the cell,D,biology,Jamb
2010,4,N/A,The dominant phase in the life cycle of a fern is the,gametophyte,prothallus,sporophyte,antheridium,C,biology,Jamb
2010,5,N/A,Parental care is exhibited by,toads,snails,earthworms,birds,D,biology,Jamb
2010,6,diag_2010_q6_7.png,"With respect to their decreasing dependence on aquatic conditions for reproduction, which of the following is the correct arrangement of the animals represented?",I IV II and III,IV III II and I,I II IV and III,III II IV and I,B,biology,Jamb
2010,7,diag_2010_q6_7.png,Which of the animals represents the oldest creatures in terms of evolutionary history?,III,II,I,IV,D,biology,Jamb
2010,8,N/A,Which of the following groups of cells is devoid of true nuclei?,Viruses,Algae,Monera,Fungi,C,biology,Jamb
2010,9,diag_2010_q9_10.png,The main function of the feathers covering the part labelled I is to,prevent ectoparasites from attacking the animal,generate heat to keep the animal warm,provide some power for flight,serve as insulator to maintain body heat,D,biology,Jamb
2010,10,diag_2010_q9_10.png,"Based on the shape and structure of the beak and feet, the bird represented is likely to feed mainly on",flesh,fruits,seeds,nectar,A,biology,Jamb
2010,11,N/A,Which of the following is true of the transverse section of a dicot stem?,The epidermis is completely encircled by the cortex,The xylem is more interiorly located than the phloem,The cambium lies between the cortex and the vascular bundles,The vascular bundles are randomly scattered within the cortex,B,biology,Jamb
2010,12,diag_2010_q12_13.png,The movement of material in the xylem and phloem tissues of the plant are represented by the arrows labelled,III and IV respectively,II and I respectively,I and II respectively,IV and III respectively,A,biology,Jamb
2010,13,diag_2010_q12_13.png,"During photosynthesis, the arrow labelled II represents the",escape of mineral salts,absorption of energy from the sun,release of carbon (IV) oxide,release of oxygen as a by-product,D,biology,Jamb
2010,14,N/A,Which of the following is lacking in the diet of a person with kwashiorkor?,Vitamins,Proteins,Carbohydrates,Minerals,B,biology,Jamb
2010,15,N/A,The mode of nutrition of sundew and bladderwort can be described as,autotrophic,saprophytic,holozoic,chemosynthetic,C,biology,Jamb
2010,16,N/A,"When a mixture of a food substance and Benedict's solution was warmed, the solution changed from blue to brick-red. This indicates the presence of",reducing sugar,fatty acid,sucrose,amino acid,A,biology,Jamb
2010,17,N/A,The primary structure responsible for pumping blood for circulation through the mammalian circulatory systems is the,veins,right auricle,arteries,left ventricle,D,biology,Jamb
2010,18,N/A,Circulation of blood to all parts of the body except the lungs is through,the pulmonary artery,systemic circulation,the lymphatic system,pulmonary circulation,B,biology,Jamb
2010,19,N/A,Yeast respires anaerobically to convert simple sugar to carbon(IV) oxide and,alcohol,acid,oxygen,water,A,biology,Jamb
2010,20,N/A,The sheet of muscle that separates the thoracic and the abdominal cavities is the,diaphragm,intercostal muscle,pleural membrane,pericardium,A,biology,Jamb
2010,21,N/A,The oily substance that lubricates the mammalian hair to keep it flexible and water repellent is secreted by the,sweat glands,sebaceous glands,fatty cells,granular layer,B,biology,Jamb
