Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2001,1,N/A,An association between the root nodule of a leguminous plant and Rhizobium sp. is known as,commensalism,mycorrhiza,parasitism,symbiosis,D,biology,Jamb
2001,2,N/A,Amphibians are normally found,on dry land and in water,in water and on moist land,on moist land,in water,A,biology,Jamb
2001,3,N/A,Viviparity occurs in the,mammals,reptiles,aves,amphibians,A,biology,Jamb
2001,4,N/A,The jointed structure in insects that bears organs which are sensitive to touch, smell and vibration is the,maxilla,labium,antenna,abdomen,biology,Jamb
2001,5,N/A,Which of the following groups is the most advanced?,Pteridophytes,Bryophytes,Thallophytes,Gymnosperms,D,biology,Jamb
2001,6,N/A,Most monocots are easily recognized by their,short leaves with petioles,long and sword-like leaves,long and palm-like leaves,short leaves with many veinlets,B,biology,Jamb
2001,7,N/A,"Water fleas, wood lice and barnacles belong to the group",arachnida,crustacea,insecta,chilopoda,A,biology,Jamb
2001,8,N/A,The mode of feeding in Amoeba and Hydra is,heterotrophic,holophytic,autotrophic,symbiotic,A,biology,Jamb
2001,9,N/A,Which of the following organisms does not exist as a single free living cell?,Paramecium,Volvox,Amoeba,Chlamydomonas,B,biology,Jamb
2001,10,diag_2001_q10_11.png,The structures labelled II and III respectively are,female organs and rhizoid,male organs and rhizoid,sporophyte and sori,annulus and stalk of sporangium,B,biology,Jamb
2001,11,diag_2001_q10_11.png,"In ferns, the structure above is equivalent to the",zygote of a moss,gametophyte generation of a moss,sporophyte generation of a moss,sporangium of a moss,B,biology,Jamb
2001,12,N/A,The centre for learning and memory in the human brain is the,medulla oblongata,cerebellum,cerebrum,olfactory lobe,C,biology,Jamb
2001,13,N/A,Urea formation occurs in the,heart,liver,lung,kidney,B,biology,Jamb
2001,14,diag_2001_q14_15.png,The structure holding the yolk in position is labelled,II,I,IV,III,D,biology,Jamb
2001,15,diag_2001_q14_15.png,The part labelled IV is the,albumen,germinal disc,yolk,air space,B,biology,Jamb
2001,16,N/A,The gas produced during tissue respiration can be identified by using,calcium hydroxide,copper sulphate,calcium carbonate,sodium hydroxide,A,biology,Jamb
2001,17,N/A,A seedling grown in the dark is likely to be,etiolated,dormant,sturdy,stunted,A,biology,Jamb
2001,18,N/A,The enzyme invertase will hydrolyze sucrose to give,maltose and glucose,glycerol and fatty acid,glucose and fructose,mannose and galactose,C,biology,Jamb
2001,19,N/A,"When yeast respires anaerobically, it converts simple sugars into carbon (IV) oxide and",oxygen,acid,alcohol,water,C,biology,Jamb
2001,20,N/A,The transportation of oxygen and carbon (IV) oxide in mammals is carried out by,leucocytes,thrombocytes,phagocytes,erythrocytes,D,biology,Jamb
2001,21,N/A,The veins of the leaf are formed by the,vascular bundles,cambium cells,palisade tissue,spongy mesophyll,A,biology,Jamb
2001,22,diag_2001_q22_23.png,The parts which function together to bring about hearing are labelled,"IV, V and VI","I, II, IV and VI","I, II, III and IV","I, II and IV",C,biology,Jamb
2001,23,diag_2001_q22_23.png,The part labelled II is the,fenestra ovalis,middle ear canal,internal auditory meatus,ear ossicles,D,biology,Jamb
2001,24,N/A,"When specimen X is mixed with few drops of iodine solution, the appearance of a blue-black colour confirms that X is",galactose,starch,sucrose,glucose,B,biology,Jamb
2001,25,diag_2001_q25_26.png,The structure represents a,caudal vertebra,lumbar vertebra,thoracic vertebra,cervical vertebra,D,biology,Jamb
2001,26,diag_2001_q25_26.png,Blood vessels usually pass through the structure labelled,III,II,V,IV,C,biology,Jamb
2001,27,N/A,Salts and water are absorbed in the roots and transported to the leaves by,diffusion through the xylem tissues,osmosis through the phloem tissues,diffusion through the phloem tissue,osmosis through the xylem tissues,D,biology,Jamb
2001,28,N/A,"The number of plant species obtained from a population study of a garden is as follows: Guinea grass (15), Ipomea spp. (5), Sida spp. (7) and Imperata spp. (23). What is the percentage of occurrence of Imperata spp.?",35%,16%,46%,23%,C,biology,Jamb
2001,29,N/A,Carbon (IV) oxide content of the atmosphere is least affected by,cutting down and clearing of forests,forest fires,burning of fossil fuels,plant and animal respiration,A,biology,Jamb
2001,30,N/A,The factor that least affects food shortages in sub-saharan Africa is,flooding,pests,mixed-cropping,drought,C,biology,Jamb
2001,31,N/A,The epiphytic habitat can best be described as,arboreal,estuarine,aquatic,terrestrial,A,biology,Jamb
2001,32,N/A,The highest percentage of energy in an ecosystem occurs at the level of the,secondary consumers,decomposers,producers,primary consumers,C,biology,Jamb
2001,33,N/A,The greatest influence on a stable ecosystem in nature is exerted by,man,pollution,animals,rainfall,A,biology,Jamb
2001,34,N/A,The physical space occupied by an organism together with its functional role in the community can be described as,environment,biome,niche,habitat,C,biology,Jamb
2001,35,N/A,A fresh water pond may contain,"tadpole, water boatman, leeches and crab","water beetle, shrimps, water snail and water bug","water lily, fish, water scorpion and dragonfly larva","pond skater, water lily, shark and mosquito larva",C,biology,Jamb
2001,36,N/A,The hygrometer is used for measuring,relative humidity,specific gravity,rainfall,salinity,A,biology,Jamb
2001,37,N/A,The distribution of plants in a rain forest is governed mainly by,vegetation,soil types,amount of sunlight,rainfall pattern,D,biology,Jamb
2001,38,N/A,Both recessive and dominant characters are found,on different chromosomes in the cell,at the same locus of a homologous chromosome,at different loci of a homologous chromosome,on the same chromatid in a chromosome,B,biology,Jamb
2001,39,N/A,The probability of a baby being a boy or a girl depends on the contribution of the,father's sex cell,father's somatic chromosome,mother's sex cell,mother's X-chromosome,A,biology,Jamb
2001,40,N/A,Which of the following statements is true of blood groups and blood transfusion?,Group O is the universal recipient.,Group A can donate to group A only,Group AB is the universal recipient.,Group B can donate to group B only.,C,biology,Jamb
2001,41,N/A,Which of the following is likely to encourage inbreeding in plants?,Dioecious.,Protandrous,Monoecious,Hermaphrodite.,C,biology,Jamb
2001,42,N/A,A tall plant crossed with a dwarf one produces offspring of which half are tall and half are dwarf. What are the genotypes of the parents?,TT and TT,Tt and tt,TT and tt,Tt and Tt,B,biology,Jamb
2001,43,N/A,"In man, the ability to roll the tongue is a variation classified as",anatomical,physiological,structural,morphological,B,biology,Jamb
2001,44,N/A,Darwin is considered the first scientist who correctly explained the theory of,special creation,spontaneous generation,use and disuse,organic evolution,D,biology,Jamb
2001,45,N/A,The stem of a typical aquatic plant usually has many,air cavities,intercellular spaces,water cavities,water-conducting cells,D,biology,Jamb
2001,46,N/A,The role of the male adult honey bee is to,clean the hive,ventilate the hive,mate with the queen,care for the young,C,biology,Jamb
2001,47,N/A,The ability of an organism to live successfully in an environment is known as,resistance,competition,succession,adaptation,D,biology,Jamb
2001,48,N/A,The most important adaptation of xerophytes is the ability of the protoplasm to,resist being damaged by loss of water,store sugar and minerals in the vacuoles,absorb water and swell,shrink from the cell wall,A,biology,Jamb
2001,49,N/A,A green snake in green grass is able to escape notice from predators because of its,disruptive colouration,counter shading,warning colouration,cryptic colouration,B,biology,Jamb
2001,50,N/A,"For heterotrophic organisms, competition is least caused by the inadequacy of",mates,space,light,nutrients,C,biology,Jamb
