Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2005,1,diag_2005_q1_2.png,A function of the part labelled II is to,help the animal maintain balance or posture,transform sound waves into electric impulses,equalize pressure on both sides of the tympanum,conduct sound waves to the brain,C,biology,Jamb
2005,2,diag_2005_q1_2.png,The structure labelled I is the,hammer,stapes,malleus,incus,B,biology,Jamb
2005,3,N/A,The function of the fluid-filled pericardium is to,supply the heart with oxygen and nutrients,reduce the intensity of the pumping action of the heart,reduce the friction caused by the pumping movements of the heart,prevent disease organisms from attacking the heart,C,biology,Jamb
2005,4,N/A,Hydrostatic skeleton is the type of supporting system found in,arthropods,mammals,reptiles,oligochaetes,D,biology,Jamb
2005,5,diag_2005_q5_6.png,The part labelled IV represents the,duodenum,caecum,ileum,colon,A,biology,Jamb
2005,6,diag_2005_q5_6.png,The bile is stored in the part labelled,IV,I,II,III,C,biology,Jamb
2005,7,N/A,The urinary tubules of the kidney function through,ultrafiltration and selective reabsorption,active transport and cytoplasmic streaming,osmosis and diffusion,active transport and osmosis,A,biology,Jamb
2005,8,N/A,Which of the following is a homeostatic response in humans?,Yawning owing to tiredness,Withdrawing the hand from a hot object,Shivering in a cold environment,The mouth getting watery when food is sighted,C,biology,Jamb
2005,9,N/A,In the root vascular system, the stele is directly surrounded by the,parenchyma,endodermis,pericycle,cortex,biology,Jamb
2005,10,N/A,The mammalian lung is made air tight by the,pleural membrane,diaphragm,mucous membrane,pleural cavity,A,biology,Jamb
2005,11,N/A,Excess water in plants is excreted as water vapour and droplets respectively through,transpiration and guttation,respiration and guttation,guttation and condensation,photosynthesis and guttation,A,biology,Jamb
2005,12,diag_2005_q12_13.png,Birth control by vasectomy is achieved by severing the structure labelled,IV,I,II,III,D,biology,Jamb
2005,13,diag_2005_q12_13.png,The structure labelled I originates from the,stomach,small intestine,kidney,liver,C,biology,Jamb
2005,14,N/A,The only vein that carries pure oxygenated blood is the,sciatic vein,hepatic vein,renal vein,pulmonary vein,D,biology,Jamb
2005,15,N/A,When bacteria swim from cold to warm regions, this is known as,positive phototaxis,negative phototaxis,positive thermotaxis,negative chemotaxis,biology,Jamb
2005,16,N/A,A test tube containing yeast in glucose solution was suspended in a covered conical flask containing alkaline pyrogallol. The bubbles of carbon (IV) oxide produced indicate that the yeast cells are,liberating oxygen on their own,living and consuming oxygen,being killed by the alcohol produced,respiring in the absence of oxygen,D,biology,Jamb
2005,17,diag_2005_q17_18.png,The main function of the structure labelled I is to,store water for the seedling,protect the young plumule,pull the young shoot above the ground,store food for the young plant,D,biology,Jamb
2005,18,diag_2005_q17_18.png,The type of germination illustrated is termed,hypocotyl,epigeal,hypogeal,epicotyl,B,biology,Jamb
