Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2013,1,Which question paper type of Literature in English is given to you?,Type D,Type I,Type B,Type U,B,english,Jamb
2013,2,"""James: Let me swear, woman. And I will swear by my father's coffin that if..."" The lines depict James as a",traditional,christian,pagan,muslim,C,english,Jamb
2013,3,The speaker is referring to,Fosuwa,Awere,Maanan,Hannah,D,english,Jamb
2013,4,"""Aaron: All I need really is a place in an Art school, engineering can go hang itself."" The dominant figure of speech in the excerpt above is",personification,metaphor,metonymy,synecdoche,A,english,Jamb
2013,5,"From the play, the character of Aaron represents the",new generation,old generation,painters,art work,A,english,Jamb
2013,6,"""Uncle, this is a Montague, our foe; A villain that is hither come in spite, To scorn at our solemnity this night."" The villain in the excerpt above is",engaging in a shouty match,holding a sword to commit murder,attempting to steal,attending a feast uninvited,D,english,Jamb
2013,7,"""What, drawn, and talk of peace? I hate the word As I hate hell, all Montagues, and thee Have at thee, coward!"" The lines above reveal the speaker as a",real Montague,trouble shooter,violence seeker,peace maker,C,english,Jamb
2013,8,"Romeo's mood, at the beginning of the play can be described as",frustrated and pensive,gay and elated,melancholic and sentimental,dreamy and hopeful,C,english,Jamb
2013,9,"""O deadly sin! O rude unthankfulness! Thy fault our law calls death, but the kind Prince, taking thy part, hath rushed aside the law, And turned that black word 'death' to banishment."" The speaker in the passage above is",Apothecary,Lord Capulet,Lord Montague,Friar Lawrence,D,english,Jamb
2013,10,"""... Put up thy sword Or manage it to part these men with me."" The speech above is made when",Romeo and Paris engage themselves in a fight,Benvolio tries to separate the servants of the feuding families,Tybalt challenges Romeo to duel,Prince Escalus arrives to make peace between the families,B,english,Jamb
2013,11,"For his sacrifices to the church, Meka gets",a place near an aged leper,a land to build a new house,appointed into the church elders' council,the privilege to choose a permanent place to sit,D,english,Jamb
2013,12,"""Since I came to this country I have never seen cocoa as well dried as yours."" The speaker above is",the Cathechist,Nua,Nkolo,the Commandant,D,english,Jamb
2013,13,"To the white men, the medal that is given to Meka symbolizes",peace,friendship,harmonious relationship,love,B,english,Jamb
2013,14,"In the Novel, Nnu Ego is blamed for the misfortunes of her",parents,husband,siblings,children,B,english,Jamb
2013,15,According to the novel Nnaife becomes frustrated when,his wife gives birth to female twins,he is recruited into the army,Oshiaju secures a scholarship to study abroad,he is arrested and charged for attempted murder of his in-law,B,english,Jamb
2013,16,Adaku remains faithful to Nnaife until she,is rebuked by the Ibuza society for abusing Nnu Ego,becomes rich and powerful,starts keeping unnecessary friends,is unable to give birth to a male child,A,english,Jamb
2013,17,The Ministry of Love is concerned with,peace and freedom,torture and pain,joy and peace,hatred and pain,B,english,Jamb
2013,18,The instruments of power and torture belong to,the thought police,individuals,the government,the party,D,english,Jamb
2013,19,The action in the novel is built around,Julia,Big Brother,Winston Smith,O' Brien,C,english,Jamb
2013,20,Winston Smith works in the Record Department of the Ministry of,Peace,Plenty,Love,Truth,D,english,Jamb
2013,21,The dominant poetic technique employed in Adeoti's Naked Soles is,hyperbole,onomatopoeia,zeugma,oxymoron,B,english,Jamb
2013,22,Rubadiri's An African Thunderstorm can be described as,traditional,satirical,didactic,dramatic,D,english,Jamb
2013,23,"""Since it was you who in all these thin seasons."" The device employed in the line above from Kunene's The Heritage of Liberation, is an example of",anecdote,aside,apostrophe,allusion,C,english,Jamb
2013,24,"""Let me ask for what reason or rhyme Women refuse to marry? Woman cannot exist except by man, what is there in that to vex some of them so?"" The lines above from Give Me The Minstrel's Seat is an example of",ironical statement,rhetorical question,pathetic fallacy,chiasmus,B,english,Jamb
2013,25,"""Time winged chariot"" The line above from Marvell's To His Coy Mistress depicts",the measurement of time,how fast events unfold,how fast time flies,the usefulness of time,C,english,Jamb
2013,26,Lawrence's Bat opens with the description of the,bats,scenery,scene,creatures,C,english,Jamb
