Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2014,1,Which Question Paper Type of Literature in English is given to you?,Type F,Type E,Type L,Type S,A,english,Jamb
2014,2,"In the play (Women of Owu), the gods are portrayed as",saviours of mankind,helpless,architects of man's destiny,amorous,A,english,Jamb
2014,3,Orisaye describes Balogun Kusa as,a good leader,a great warrior,an enemy and a butcher,a friend in need,B,english,Jamb
2014,4,Erelu is,the first wife of the Oba,the oldest wife of the Oba Akiniobi,a courtier to the Alaafin of Oyo,the most brilliant woman in Owu,B,english,Jamb
2014,5,Balogun Kusa is killed by a,soldier,god,herbalist,lunatic,A,english,Jamb
2014,6,"In the play (The Tempest), Ariel is identified as",assistant to Sycorax,leader of the spirits,Prospero's daughter,Alonso's wife,B,english,Jamb
2014,7,"Before the shipwreck that occurs at the beginning of the play, Prospero and his daughter have lived in the island for",eighteen months,two decades,twelve years,forty days,C,english,Jamb
2014,8,Caliban's intention to rape Miranda is born out of the desire to,marry her,destroy the Island,compete with Ferdinand,populate the Island with Calibans,D,english,Jamb
2014,9,The character associated with savagery in the play is,Ferdinand,Ariel,Stephano,Caliban,D,english,Jamb
2014,10,Prospero is portrayed as a man who is,eager to conquer the world,full of mistrust for everybody,more interested in studying than in governance,dependent on the spirits for his survival,C,english,Jamb
2014,11,The novel (A Woman in Her Prime) explores the theme of,child quest of an African woman,exploitation of the African woman,sex discrimination in Ghana,women liberation in Nigeria,A,english,Jamb
2014,12,"According to the novel, the worst calamity that can befall a woman is",barrenness,inability to bear male children,inability to marry,divorce,A,english,Jamb
2014,13,"In the novel, Asogo is a game in which",mothers lure their babies to sleep,fathers narrate animal stories,boys abuse girls with music,girls sing songs of praise and admonition,B,english,Jamb
2014,14,"In the novel (Purple Hibiscus), one of the changes introduced into St. Agnes' Church by Father Benedict is that",everyone must take holy communion,there must be fasting every month,the Credo must be recited in Igbo,the Kyrie must be rendered only in Latin,D,english,Jamb
2014,15,Eugene Achike in the novel is portrayed as,a tough retired soldier,a soft and gentle husband,an uncompromising traditionalist,a fanatical Catholic adherent,D,english,Jamb
2014,16,"In the Achike family, the character who is central to the theme is",Jaja,Kambili,Mama,Sisi,B,english,Jamb
2014,17,"In the novel (The Old Man and the Sea), the type of fish caught by Santiago after days of effort is",geisha,shark,iris,marlin,D,english,Jamb
2014,18,The novel demonstrates the,struggle of man against defeat,attempt to catch fish,desire to understand life,influence of the sea on man,A,english,Jamb
2014,19,"In the novel, the attitude of the old man toward nature is quite",warm and friendly,cautious and skeptical,hostile and callous,careless and indifferent,A,english,Jamb
2014,20,Santiago's second dream occurs,when he sleeps on the boat for a few hours,the night before his fishing expedition,in his house,at the end of the book,B,english,Jamb
2014,21,The dominant image in Adeoti's Hard Lines is,tactile,auditory,gustatory,visual,B,english,Jamb
2014,22,The tone of Umeh's Ambassadors of Poverty can be described as,panegyrical,metaphorical,sarcastic,admonitory,C,english,Jamb
2014,23,"In Owonibi's Homeless, not Hopeless, the persona explains that street beggars",are concerned with their daily needs,always worry about heaven,rarely sleep and dream,attend conferences in towns,A,english,Jamb
2014,24,Cheney-Coker's Myopia is a,ballad,dirge,lament,sonnet,A,english,Jamb
2014,25,Jared Angira is an African Poet from,Ghana,Sierra-Leone,Kenya,South Africa,C,english,Jamb
2014,26,The dominant technique used in Serenade is,apostrophe,metaphor,simile,oxymoron,C,english,Jamb
2014,27,The sun in Donne's The Sun Rising is depicted through the use of,apostrophe,invocation,ellipsis,enjambment,A,english,Jamb
2014,28,"In Raleigh's The Soul's Errand, the soul is portrayed as a",messenger of hope and peace,friend of suffering masses,fearless message-bearer,restorer of lost glory,C,english,Jamb
2014,29,The allusion in Hughes's The Negro Speaks of Rivers is mainly,literary,biblical,historical,classical,C,english,Jamb
2014,30,Fletcher's Upon An Honest Man's Fortune encourages people to,accept life as it is,condemn soothsaying,move in the direction of God,accept soothsaying,C,english,Jamb
2014,31,An action in a play that stimulates the audience to pity a character is,pyrrhic,props,pathos,parody,C,english,Jamb
2014,32,"Purgation of emotion, pity and fear is",catharsis,catastrophe,epilogue,exposition,A,english,Jamb
2014,33,A device in drama where a character speaks alone is,soliloquy,aside,apostrophe,dialogue,A,english,Jamb
2014,34,A plot in a literary work is about,character delineation,causal arrangement of events,resolution of conflicts,law of poetic justice,B,english,Jamb
2014,35,Tone and mood of a poem refer to,locale,atmosphere,setting,space,B,english,Jamb
2014,36,A funny incident within a serious situation is,comedy,comic relief,tragicomedy,tragic hero,B,english,Jamb
2014,37,"In literature, a flat character can be described as one who",is undeveloped,undergoes changes,dies abruptly,achieves greatness,A,english,Jamb
2014,38,Dramatis personae in a play refers to,list of characters,order of appearance,cast list,protagonist and antagonist,A,english,Jamb
2014,39,The speech made at the end of a dramatic performance is generally called,a prologue,an epilogue,a dirge,a monologue,B,english,Jamb
2014,40,Which of the following is central to narrative fiction?,Verisimilitude,Dialogue,Objectivity,Subjectivity,A,english,Jamb
2014,41,"""He put himself in uniform, made one for his five-year-old son, and marched with the infant from dawn till noon..."" The persona in the excerpt above is portrayed as",a soldier,abnormal,energetic,a policeman,B,english,Jamb
2014,42,"""He is a faithful liar"" The line above is an example of",euphemism,antithesis,epigram,oxymoron,D,english,Jamb
2014,43,"""Fights by the book of arithmetic"" The figure of speech in the line above is",litotes,innuendo,hyperbole,euphemism,B,english,Jamb
2014,44,"""And when you trudge on one horny Pads Gullied like the soles of modern shoes..."" Horny pads in the lines above is a reference to a",sole of a pauper,sole of a soldier,policeman,madman,A,english,Jamb
2014,45,"""Lift not the painted veil which those who live call life: through unreal shapes be pictured there..."" The stanza above is an example of a",couplet,sestet,quatrain,sonnet,C,english,Jamb
2014,46,"""I wonder how long, you awful parasites, Shall share with me this little bed..."" The lines are an example of a",light verse,light opera,limerick,lampoon,A,english,Jamb
2014,47,The poet persona expresses dismay about,grasshoppers,bed-bugs,bat,cockroaches,B,english,Jamb
2014,48,The most dominant figure of speech in the excerpt is,personification,hyperbole,metaphor,simile,C,english,Jamb
2014,49,"""Your head is like a drum that is beaten for spirits. Your ears are like the fans used for blowing fire."" The lines above are good example of",satire,lampoon,caricature,ridicule,D,english,Jamb
2014,50,"""This thing you are doing is too heavy for you, he said. I went to school only a little, but I have killed many many more years in this world than you have."" It can be inferred from the passage above that the",listener is more experienced,speaker is more experienced,listener is wise,speaker is a porter,B,english,Jamb
