Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2019,1,"""Dinner tonight comes with gun wounds. Our desert tongues lick the vegetable blood - the pepper"". The statement above implies",danger,humour,sarcasm,darkness,A,english,Jamb
2019,2,Gabriel Okara's Piano and Drums. The poem is a reflection on the impossibility of living two different,norms,villages,families,cultures,D,english,Jamb
2019,3,Kofi Awoonor's The Anvil and the Hammer. The dominant imagery used in the poem is,dress-making,new life,tradition and modernity,flags,C,english,Jamb
2019,4,"One of the themes is found in ""Vanity""",pain and misery,abuse of power,innocence,clash of cultures,A,english,Jamb
2019,5,"In ""Ambush"", the land is a giant whale. This implies a",personification,metaphor,irony,euphemism,B,english,Jamb
2019,6,"In William Morris ""The Proud King"". The rhyme scheme for the seven line stanzas is consistent, it is",aabbcc,ababbcc,abcdee,abccddeeff,B,english,Jamb
2019,7,"Robert Frost's ""Birches"" Choose the right option to relate with theme of Frost's poem",The mortality of man and the transcience of nature and life,The corruptive nature of wealth and affluence,Loss of the euphoria of childhood,A quest for fulfillment in nature,A,english,Jamb
2019,8,Shall I compare thee to a summer's day is an example of,sonnet,sestet,quatrain,octave,A,english,Jamb
2019,9,"In William Blake's poem ""The school boy"", the mental picture created in the mind of the reader is of a",man,little boy,little girl,woman,B,english,Jamb
2019,10,"""And may there be no moaning of the bar But such a tide as moving seems asleep The flood may bear me far"" The expression above implies",parallelism,allegory,personification,repetition,C,english,Jamb
2019,11,Faceless centres on the life of a,young lady,fourteen-year-old girl,thirteen-year-old girl,ten-year-old girl,B,english,Jamb
2019,12,Yaremi's enemies increased because of her refusal to select one of the three suitors at the,New yam ceremony,Cap picking ceremony,Staff dancing ceremony,Village square,B,english,Jamb
2019,13,"In ""Lonely Days"", Kufi women are very",wicked,respectful,domineering,industrious,D,english,Jamb
2019,14,Richard Wright's Native son Bigger accuses Gus of being afraid to rob,Jack,Dalton,Blum,Mary,C,english,Jamb
2019,15,Bigger kills and throws Mary Dalton's remains in the,lagoon,street,furnace,pit,C,english,Jamb
2019,16,Aloho is set by a,Kangaroo court,Custom officer,State prosecutor,Registrar,A,english,Jamb
2019,17,Chief Ade Haladu's crimes are made known to him in a,police station,public place,court of law,Hotel environment,C,english,Jamb
2019,18,"Dele Charley's ""The Blood of a Stranger"". The key characters involved in the theme of greed and ambition are",Kindo and Soko,Whitehead Maligu and Soko,"Wara, Soko, Kindo","King Santigi, Whitehead and Soko",B,english,Jamb
2019,19,Mama comes home and announces that she has put a down payment on a house with some of the,Lawyers,Insurance money,Savings,Agents,B,english,Jamb
2019,20,Tony steals the casket containing,Kate's Jewels,Mrs. Hardcastles's Jewels,Miss Hardcastle's Jewel,Constance's Jewels,D,english,Jamb
2019,21,"""Let the devil and his dam haunt you! What did you mean by that same handkerchief you gave me even now?"" Who made the above speech?",Othello,Iago,Bianca,Cassio,C,english,Jamb
2019,22,Who responded to the speech?,Iago,Cassio,Othello,Lodovico,B,english,Jamb
2019,23,Where is the setting?,Cyprus before the castle,A room in the castle,A seaport in Cyprus,An open place near the quay,A,english,Jamb
2019,24,The handkerchief the speaker mentioned belongs to,Othello,Cassio,Bianca,Iago,A,english,Jamb
2019,25,"""Prithee, come will you?"" Who made the above speech?",Iago,Cassio,Bianca,Desdemona,B,english,Jamb
2019,26,"""I have no great devotion to the deed. And yet he hath given me satisfying reasons..."" The above speech was made by",Othello,Iago,Desdemona,Roderigo,D,english,Jamb
2019,27,The speech was directed to,Cassio,Iago,Roderigo,Othello,B,english,Jamb
2019,28,"From the statement, ""Satisfying reasons"" means",moral support,good conduct,satisfactory result,Excuses,C,english,Jamb
2019,29,The setting is,"Cyprus, A Street","Venice, A Street",Venice. Another Street,A seaport in Cyprus,A,english,Jamb
2019,30,"""I am not merry, but I do beguile the thing I am, by seeming otherwise"" Who made the above speech?",Iago,Desdemona,Othello,Cassio,B,english,Jamb
2019,31,A literary work in which the characters and events are used as symbols is known as,characterization,allegory,metaphor,parallelism,B,english,Jamb
2019,32,Characterization in a novel refers to the,writer's opinion of the characters,way the characters are revealed to the reader,characters and the way they behave,reader's opinion of the characters,C,english,Jamb
2019,33,"In literary work, verbal irony refers to a",device in which the speaker means the opposite of what he says,situation in which a character speaks or acts against the trend of events,difficult situation which defies a logical or rational resolution,device in which the actor on stage means exactly what he says,A,english,Jamb
2019,34,"In the theatre, words spoken by a character that are meant to be heard by the audience but not by the other characters on stage is called",aside,soliloquy,accoustic,tone,A,english,Jamb
2019,35,Drama is the representation of a complete series of action by means of,movement and gesture for the screen and audience,speech movement and gesture for the stage only,"speech, movement and gesture for the stage, screen and radio","speech, gesture and movement for the screen and radio",B,english,Jamb
2019,36,A poet's use of regular rhythm is known as,allegory,assonance,metre,onomatopoeia,C,english,Jamb
2019,37,A literary genre which directly imitates human actions is,drama,comedy,prose,poetry,A,english,Jamb
2019,38,A fable is a story in which,allegations are made about characters,animals or things are used as characters,there is an important setting,the story is told in poetic form,B,english,Jamb
2019,39,The Juxtaposition of two contrasting ideas in a line of poetry is,euphemism,synecdoche,catharsis,oxymoron,D,english,Jamb
2019,40,The main aim of caricature is to,describe,expose,emphasize,ridicule,D,english,Jamb
