Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2010,1,Which Literature in English Question Paper Type is given to you?,Type A,Type B,Type C,Type D,C,english,Jamb
2010,2,"""I simply don't understand what's the matter with everybody today. Everybody let me down, and......"" The speaker above is referring to",Hannah and George,Aaron and Maanan,Lawyer B and Mrs. B,Fosuwa and Maidservant,B,english,Jamb
2010,3,Maanan expresses dislike for Lawyer B because of,his recent advances towards her,the betrayal of her father's trust,the betrayal of his wife's trust,his condemnation of her choice of career,D,english,Jamb
2010,4,The traditional order in the play is represented by,Hannah,Maanan,Aunt,Mrs. B,A,english,Jamb
2010,5,Where does the play take place?,In George's place,In Aunt's house,In Ofosu's place,On the street,C,english,Jamb
2010,6,"""O deadly sin! O rude unthankfulness! Thy fault our law calls death, but the kind Prince, Taking thy part, hath rushed aside the law And turned that black word..."" Deadly sin refers to the",suicide of Romeo,murder of Paris,murder of Tybalt,suicide of Juliet,C,english,Jamb
2010,7,The play is mostly written in,free verse,metres,foot,blank verse,D,english,Jamb
2010,8,"""O serpent heart, hid with a flowering face!"" The statement above refers to",Romeo,Tybalt,Benvolio,Juliet,A,english,Jamb
2010,9,The spatial setting of the play is,Verona,Padua,Venice,Athens,A,english,Jamb
2010,10,Romeo is banished to Mantua because he,marries Juliet without parental consent,attends Capulet's party uninvited,attempts to kill Paris his rival,kills Tybalt in a street duel,D,english,Jamb
2010,11,"In the novel, the society puts high value on",male ascendancy,procreation,gender equity,egalitarianism,A,english,Jamb
2010,12,"The medicine man links the lump discovered on the head of Nnu Ego at birth, to the",A wound inflicted on the slave woman buried with Agbadi's wife,coming back of the Agunwa to the society to live again,ill-luck and tragic events attributed to a predestined fate,possession of physical admirable qualities that makes her an epitome of perfection,A,english,Jamb
2010,13,The constant companions of Nnaife's family are,poverty and hunger,sickness and joblessness,disagreement and humiliation,togetherness and happiness,A,english,Jamb
2010,14,The disagreement between Mvondo and Nti centres on the latter's claim to have,eaten the entire entrails of a sheep,eaten more than his share of the food,been in a whiteman's office,assisted Meka in getting the medal,C,english,Jamb
2010,15,Meka can best be described as,a simple hearted old man,an impulsive old man,an old religious bigot,an egocentric old man,A,english,Jamb
2010,16,"In the novel, the colonialists treat the Africans with",disdain,indifference,honour,kid gloves,A,english,Jamb
2010,17,The Ministry of Peace is concerned with making,weapons,wars,reconciliation,instruments,B,english,Jamb
2010,18,The subject matter of the novel is,exploitation and cruelty,retributive justice,class segregation,totalitarian dictatorship,D,english,Jamb
2010,19,How did Winston start his rebellion against the state?,By keeping a private diary,When he started a secret affair,When he spied on the party,By engaging in anti-party activities,A,english,Jamb
2010,20,The party seeks power for,its own sake,its members,peoples' sake,the nation,A,english,Jamb
2010,21,As the dancers move through paths strewn with glass chips the images in Adeoti's Naked Soles change from,inaction to action,pain to grief,sorrow to joy,joy to excitement,B,english,Jamb
2010,22,"Rubadiri's An African Thunderstorm, says that during thunderstorm in the village",children play in the rain,children are delighted while women dart in and out,both women and children are delighted,women cook their food too,B,english,Jamb
2010,23,"""Yet in their finger upon Our navel The midwives of the spirit say They feel a foetal throb."" The dominant literary device used in the extract above from Acquahs' In the Navel of the Soul is",allegory,enjambment,rhythm,epigram,B,english,Jamb
2010,24,"In Kunene's A heritage of Liberation, the poet persona requests that the weapons of warfare be handed to their",relations,grand children,families,friends,B,english,Jamb
2010,25,The predominant device in Launko's End of the War is,antithesis,oxymoron,paradox,onomatopoeia,C,english,Jamb
2010,26,The theme of the poem Give Me The Minstrel's Seat centres on,fortune,marriage,companionship,divorce,B,english,Jamb
2010,27,The poet persona in Marvell's To His Coy Mistress is willing to praise the lady's eyes for,six decades,two centuries,a century,thirty thousand years,C,english,Jamb
2010,28,"In Lawrence's Bat, the poet persona mistakes the bats for",swallows,pipistrello,sparrows,owls,A,english,Jamb
2010,29,"In Eliot's Journey of the Magi, the magi are aided on their journey by",horses,camels,chariots,donkeys,B,english,Jamb
2010,30,According to Cope's Sonnet VII poetry is basically,therapeutic,philosophical,inspiring,boring,A,english,Jamb
2010,31,A play which mainly aims at provoking excessive laughter is called,comedy,a farce,satire,a tragi-comedy,B,english,Jamb
