Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2012,1,Which Question Paper Type of Literature in English as indicated above is given to you?,Type Green,Type Purple,Type Red,Type Yellow,B,english,Jamb
2012,2,Who is the paternal aunt to Aaron and Maanan?,Mrs Bonu,Hannah,Fosuwa,Adwao,C,english,Jamb
2012,3,"From the play, George is a",laboratory attendant,pharmacist,nurse,medical doctor,D,english,Jamb
2012,4,"""If you touch me I shall smash your face with this bottle."" The statement is made by",Maanan to lawyer B,Maanan to Mrs Bonu,James to Awere,Awere to Aaron,A,english,Jamb
2012,5,The issue at stake is that,Maanan is trying to compromise,Lawyer B is trying to kiss Maanan,James sees Awere as a bad influence,Mrs Bonu is taunting Maanan for loving her husband,B,english,Jamb
2012,6,"""From forth the fatal loins of these two foes A pair of star-crossed lovers takes their life..."" The lines above suggest that the tragedy in the play",could have been averted,is predestined,is brought on by enmity,brought misfortune on the lovers,B,english,Jamb
2012,7,"""O she doth teach the torches to burn bright! It seems she hangs upon the cheek of night A rich jewel in an Ethiop's ear."" From the lines above, Juliet's beauty is presented",in contrast to the dark night,as a source of envy to all,in terms of riches,as being outstanding,D,english,Jamb
2012,8,"""The all-seeing sun Ne'er saw match since first the world begun"". The lines above are spoken by",Count Paris in praise of Juliet,Romeo in praise of Juliet,Romeo in praise of Roseline,Lady Capulet in praise of Roseline,C,english,Jamb
2012,9,The major role of Mercutio in the play is to,serve as a contrast to Romeo,aid and abet Romeo's passion,annoy Tybalt,accompany Romeo to Friar Lawrence,A,english,Jamb
2012,10,The play shares the feature of classical tragedy through the use of,violence on stage,chorus,comic relief,flashback,B,english,Jamb
2012,11,"""Meka, kneeling down in his usual fashion with his behind up in the air. Kelara Knelt down beside him. Amalia and her husband Knelt down as well."" The actions of Meka, Kelara, Amalia and her husband signify",parade,dance,prayer,celebration,C,english,Jamb
