Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2015,1,Lonely Days recounts the life of Yaremi as a,mother,widow,Ajumobi's wife,woman,B,english,Jamb
2015,2,"Wura lives in with her husband, the blacksmith who is commonly referred to as the ""Iron Man""",Kufi,Apon,Olode,Ibadan,B,english,Jamb
2015,3,Woye learns the benefits of hardwork and diligence from,Ajumobi,Wura,Yaremi,Segi,C,english,Jamb
2015,4,Yaremi shows Woye how to protect the chicks from hawks by using a to scare them away,scare crow,stones,arrow,catapult,A,english,Jamb
2015,5,Death in the opinion of Kufi people is connected to the deeds or misdeeds of certain persons who may be enemies of the,living individual,dying individual,mourners,celebrant,B,english,Jamb
2015,6,A poetic device in which an idea in a line runs into another is called,end rhyme,rhyme scheme,enjambment,pathos,C,english,Jamb
2015,7,A novel which depicts the adventures of the main character who is usually something of a rogue is,picaresque,comedy,fable,prose,A,english,Jamb
2015,8,"""We have been asleep, Mr Speaker, my fellow citizens; asleep in our dream of security!..."" The force of the speech above is sustained on",repetition,delivery,oratory,musicality,A,english,Jamb
2015,9,The form of poetry that celebrates with nostalgia the ideal world of the countryside is referred to as,a ballad,an ode,a pastoral,an elegy,C,english,Jamb
2015,10,The tragic character is the person whose experiences arouse pity and,terror,sympathy,frustration,horror,B,english,Jamb
2015,11,The text is centred on the corrupt acts of public servants and Madam Hoha in a country called,Jacassa,Pannya,Akpara,Gambia,A,english,Jamb
2015,12,Chief Haladu has a protruding stomach such that his friends fondly call him,picture of corruption,the pregnant chief,father of corruption,Harvest reaper,B,english,Jamb
2015,13,Ochuole bewitches Aloho by introducing her to the concept of as a metaphor for taking advantage of the wildness of the city,oranges,drugs,prostitution,job,A,english,Jamb
2015,14,"Ogeyi is a born again Christian, she lives in",Akpara,Pannya,Jacassa,Gagoon,B,english,Jamb
2015,15,Akpara hotel at Darkin is owned by,Madam Hoa,Madam Hoha,ACP Yakubu,Chief Odili,B,english,Jamb
2015,16,"The landlord brings news that two gentlemen have arrived, these gentlemen are",Tony and Marlow,Hardcastle and Tony,Marlow and Hastings,Marlow and Constance,C,english,Jamb
2015,17,"""Methinks the wind hath spoke aloud at land... What shall we hear of this?"" Who made the speech above?",second gentleman,Montano,First gentleman,Third gentleman,B,english,Jamb
2015,18,"""Come, let us to the Castle News, friends..."" Othello made this speech in",Hall in the castle,A sea-port in Cyprus,A room in the castle,A street in Venice,B,english,Jamb
2015,19,"""Masters, play here; I will content your pains..."" Who were referred as masters?",Cassio and clown,Emilia and Iago,First musician,Desdemona,C,english,Jamb
2015,20,"""Be thou assured, good Cassio..."" How many characters were involved in the above extracts?",Desdemona Emilia and Cassio,Othello Iago and Bianca,Emilia Othello and Bianca,Roderigo Desdemona and Cassio,A,english,Jamb
2015,21,"""So please your grace, my ancient..."" The speaker is",Duke,Othello,Roderigo,Iago,B,english,Jamb
2015,22,The protagonist of Native Son is,Mr. Dalton,Mary,Bigger Thomas,Mrs. Thomas,C,english,Jamb
2015,23,The novel (Faceless) depicts the attitude of,greedy politicians,peer group pressure,negligent parents,stubborn children,C,english,Jamb
2015,24,Fofo has chosen to sleep in front of a provision store at the Agbogbloshie market in order to avoid the risk of her losing her newly,boyfriend,job,apartment,home,B,english,Jamb
2015,25,The Blood of a Stranger is about the fraudulent activities of,Pedro da cinta,a white colonialist exploiter,Sierra Leone,cultural heritage,B,english,Jamb
2015,26,Maligu is the chief adviser to,King Santigi Mando,Soko,Mando town,whiteman,A,english,Jamb
2015,27,A Raisin in the Sun can be considered a turning point in American art because it addresses so many important issues during the in the United States,1940s,1950s,1930s,1920s,B,english,Jamb
2015,28,The setting time of A Raisin in the Sun is between,1940 and 1941,1945 and 1959,1920 and 1930,1935 and 1939,B,english,Jamb
2015,29,"Mama properly lays Travis's bed for him, Ruth interprets this as",overpampering him,loving him,supporting him,disliking him,A,english,Jamb
2015,30,A suitor was proposed for Miss Hardcastle by her,father,mother,parents,uncle,A,english,Jamb
2015,31,Lenrie Peters' The Panic of Growing Older can be referred to as,philosophical,satirical,metaphysical,metaphorical,C,english,Jamb
2015,32,"""Laboratory tests have nothing to show"", this expression depicts",metaphor,personification,satire,euphemism,B,english,Jamb
2015,33,"""All Peters with petered out desires"" The line expresses",alliteration,repetition,metaphor,pun,A,english,Jamb
2015,34,Alfred Tennyson's Crossing the Bar The Poem is a Meditation on,life,death,happiness,destruction,B,english,Jamb
2015,35,"""And after that the dark!"" The 'dark' is a symbol of",death,destruction,reunion,peace,A,english,Jamb
2015,36,William Blake's The School Boy. 'The School Boy' depicts,romantic,perfection,irony,metaphysical,A,english,Jamb
2015,37,The setting of 'The School Boy' is in,Russia,Italy,England,Germany,C,english,Jamb
2015,38,One of the themes in 'The School Boy' focuses on,quest for wealth,the beauty and splendour of nature,the immortality of art,futility of life,B,english,Jamb
2015,39,"In the theatre, words spoken by a character that are meant to be heard by the audience but not by the other characters on stage is called",soliloquy,aside,tone,accoustic,B,english,Jamb
2015,40,A literary work in which the characters and events are used as symbols is known as,allegory,characterization,metaphor,parallelism,A,english,Jamb
