Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2011,1,Which Question Paper Type of Literature in English is given to you?,Type A,Type B,Type C,Type D,B,english,Jamb
2011,2,"From its resolution of conflicts, the play (Sons and Daughters) can be described as a",tragedy,farce,melodrama,comedy,C,english,Jamb
2011,3,The prevailing theme of the play is,love,social decadence,self-will,affluence,C,english,Jamb
2011,4,The final harassment of Maanan takes place in,Ofosu's office,Lawyer B's chamber,Ofosu's house,Lawyer B's house,C,english,Jamb
2011,5,"""Everything in this room outrages my sense of beauty, undermines my will to create pictures of lasting appeal..."" The speaker in the quotation above is",happy,excited,tired,frustrated,D,english,Jamb
2011,6,"""Farewell. God knows when we shall meet again, I have a faint cold fear thrills through my veins... My dismal scene I needs must act alone. Come, vial."" The intention of the speaker above is to",commit suicide,commit murder,escape from harsh realities of life,take a temporary harmful substance,D,english,Jamb
2011,7,The play (Romeo and Juliet) reaches the point of denouement,at the family feast,at the reconciliation of the feuding families,when Romeo is informed of Juliet's death,when Romeo kills Paris at the tomb,B,english,Jamb
2011,8,The news of Juliet's death is broken to Romeo in Mantua by,Balthasar,Boy,Friar John,Friar Lawrence,A,english,Jamb
2011,9,"In the play, Mercutio can be described as",fraudulent,gentle,kind-hearted,quarrelsome,D,english,Jamb
2011,10,The plot of the play is,simple,convoluted,chronological,complicated,D,english,Jamb
2011,11,The heavy downpour on the night of Meka's investiture symbolizes,revelation,conviction,blessing,mockery,D,english,Jamb
2011,12,Vandermayer's attitude and action towards Meka illustrates the church's,despondency,infuriation,hypocrisy,suspicion,C,english,Jamb
2011,13,"""As he opened and shut his mouth his lower jaw went down and came up, puffing up and then deflating the skin under his chin"". The subject of description in the lines above is",the high commissioner,the white chief,M. Fouconi,M. Pipiniakis,A,english,Jamb
2011,14,"For attempted murder, Nnaife was jailed for",four months,five months,two months,three months,A,english,Jamb
2011,15,"In the novel, Nwokocha Agbadi is famous for his oratorical power and",height,Illiteracy,wealth,treachery,C,english,Jamb
2011,16,"In the novel, the handing over of a baby boy in a dream to Nnu Ego by her personal god signifies",reincarnation,idol worship,doom,future blessing,A,english,Jamb
2011,17,The novel (Nineteen Eighty-Four) draws a picture of,a useless past,an unstable moment,a peaceful atmosphere,a totalitarian future,D,english,Jamb
2011,18,The power and oppression of an irresistible evil debased Winston's dreams of,freedom and democracy,wealth and capitalism,sovereignty,internal security,A,english,Jamb
2011,19,Room 101 symbolizes a place of,rest,humiliation,torture,fun,C,english,Jamb
2011,20,The novel can be described as,optimistic,persuasive,pessimistic,antagonistic,C,english,Jamb
2011,21,"In Naked Soles, Adeoti writes that the carnival of naked soles dances through",scorching sun,blooming thorns,a cloudy atmosphere,a dirty room,B,english,Jamb
2011,22,"In Rubadiri's An African Thunderstorm, the thunderstorm begins with",rain from the west,rain from the east,clouds from the west,clouds from the east,C,english,Jamb
2011,23,The theme of Acquah's In the Navel of the Soul is,the conflict of traditions,the futility of man and his tradition,the strength in diversity of culture and traditional views,ensuring that traditions and beliefs were strictly observed,A,english,Jamb
2011,24,"In Kunene's A Heritage of Liberation, the persona is concerned with the",people's struggle for survival,intolerance of the new generation,celebration of African tradition,criticism of modern tradition,A,english,Jamb
2011,25,Launko's End of the War portrays the,silence of battlefield,irony of life,arrangement of war,usefulness of praise singers,B,english,Jamb
2011,26,"""Woman cannot exist except by man, What is there in that to vex some of them so?"" The statement above from the poem Give Me The Minstrel's Seat exemplifies",litotes,transferred epithet,synecdoche,rhetorical question,D,english,Jamb
2011,27,"Marvell, in To His Coy Mistress uses the imagery of death to",appreciate God's power,condemn the lady,scare the lady,underscore life's transcience,D,english,Jamb
2011,28,"To sustain the interest of readers, Lawrence in Bat uses",elision,suspense,oxymoron,hyperbole,B,english,Jamb
2011,29,"""With a running stream and a water-mill beating the darkness. And three trees on the low sky."" In the excerpt above from Eliot's Journey of the Magi, the dominant literary device is",oxymoron,hyperbole,alliteration,personification,D,english,Jamb
2011,30,The tone of Cope's Sonnet VII is generally,persuasive,optimistic,mournful,humorous,D,english,Jamb
2011,31,The large space above the proscenium in a theatre from which the scenes are controlled is called,aside,anachronism,flies,setting,C,english,Jamb
2011,32,"""Good warriors make others come to them and do not go to others..."" The theme of the passage above is",folly of soldiers,Spurring people to action,war,inspiration,C,english,Jamb
2011,33,The repetition of single words or phrases at the beginning of lines is,assonance,onomatopoeia,alliteration,parallelism,D,english,Jamb
2011,34,A ballad is meant to be,acted,discussed,read,sung,D,english,Jamb
2011,35,"In drama, dramaturge is he who",writes or edits plays,directs a play,acts a film,features in a play,A,english,Jamb
2011,36,Travellogue is a work of art written,by a famous playwright,by an unpopular novelist,on a journey,before the death of the author,C,english,Jamb
2011,37,Plays are basically meant to,change the world,be read for pleasure,be presented on stage,keep people out of trouble,C,english,Jamb
2011,38,A character who re-enacts familiar experiences that readers easily identify with is a,round character,stock character,static character,flat character,B,english,Jamb
2011,39,The plot of a story generally refers to the,intrigue made by a character against the hero,way in which the events of the story are organized,way in which the writer begins the story,way the writer ends the story,B,english,Jamb
2011,40,The metric pattern in a line of poetry with five stressed and five unstressed syllables is,trochaic decametre,iambic pentametre,anapestic metre,dactylic metre,B,english,Jamb
2011,41,"""...But, O, methinks how slow This old moon wanes, she lingers my desires, Like to a step-dame or a dowager..."" The literary devices used in the excerpt above are",personification and simile,alliteration and synecdoche,rhyme and refrain,irony and suspense,A,english,Jamb
2011,42,"""You are the silent code of pleasure locked in worldless wonder You are the hive of treasure no dragon can plunder"" The excerpt above achieves its rhetorical effect through the use of",repetition and meiosis,caesura and hyperbole,alliteration and irony,metaphor and rhyme,D,english,Jamb
2011,43,"""...He sighed with relief when they got to the ground floor and trumbled out of the lift."" In the excerpt above, the subject's experience in the lift is",timely,unpleasant,amusing,comfortable,B,english,Jamb
2011,44,"""...Answer. Or is the land at peace? Are not people ailing and dying?"" In the excerpt above, the land is not at peace because of",chieftaincy tussle,political unrest,sickness and death,famine and war,C,english,Jamb
2011,45,"""In those days When civilization kicked us in the face..."" The dominant literary device used in the lines above is",pun,personification,simile,metaphor,B,english,Jamb
2011,46,"""I am not afraid of anything; he told them. I have done almost everything in this world."" In recounting his criminal life, the speaker's tone is",regretful,subdued,repentant,boastful,D,english,Jamb
2011,47,"""I have said too much unto a heart of stone..."" A heart of stone in the lines above is an example of",metonymy,assonance,metaphor,litotes,C,english,Jamb
2011,48,"""Blood was to prove no solace to the king... he searched in vain for ways to run from his inner emptiness."" The narrator's attitude to the king is one of",envy,suspicion,contempt,sympathy,D,english,Jamb
2011,49,"""Homage to Peregede, the triumphant mother of morning..."" The excerpt above is an example of",invocation,ode,elegy,limerick,A,english,Jamb
2011,50,"""The wood decay, the woods decay and fall... And after many a summer dies the swan."" The subject matter of the lines above is",death,famine,storm,rainfall,A,english,Jamb
