Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2018,1,"Constance Neville, an orphan is the niece and ward to",Mr. Hastings,Mr. Hardcastle,Mrs. Hardcastle,Tony Lumpkin,C,english,Jamb
2018,2,Young Charles Marlow is extremely shy around,refined young ladies,bold and outspoken women,gentlemen of same calibre,hardcastles,A,english,Jamb
2018,3,"Beneatha's spraying of the apartment seems symbolic of her dissatisfaction with her surroundings, she wants to rid herself and her family of what she later refers to as",graphic terrors,acute ghettoitis,ocomogoslay,clybourne,B,english,Jamb
2018,4,"Notably, one of the themes enhances the development of ""A Raisin in the Sun""",hopes and plans,anxiety associated with ageing,uncertainty,death is inevitable,A,english,Jamb
2018,5,One of the themes here reveals Harvest of Corruption is about,patriotism and resistance to oppression,irony of culture,spiritual decadence,"plant corruption, harvest corruption",D,english,Jamb
2018,6,"Ogeyi bothered by what corruption has apparently done to Aloho, her friend decides to go to",Chief Ade Amaka and Ochuole,ACP Yakubu and inspector Inaku,Madam Hoha and ACP Yakubu,Justice Odili and Ayo,B,english,Jamb
2018,7,Maligu and Soko abduct,Kindo,Wara,Santigi,Baliha,B,english,Jamb
2018,8,Whitehead gets the villagers _ to subdue their consciousness,happy,involved,drunk,busy,C,english,Jamb
2018,9,Mary is the only child of,Mr. and Mrs. Jack,Mr. and Mrs. Gus,Mr. and Mrs. Dalton,Mr. and Mrs. Morgan,C,english,Jamb
2018,10,Peggy leads Bigger into the kitchen and asks him to sit down while she gets the,fruits ready,dinner ready,food ready,drinks ready,B,english,Jamb
2018,11,Yaremi's major source of income generates from,oil business,taffeta clothes,farming,Bridal bangles,B,english,Jamb
2018,12,A good number of Kufi women secretly envy Yaremi for her,marriage,liberty and freedom,loneliness,wealth,B,english,Jamb
2018,13,Dina and Kabria hold a confidential talk with,Mute,Naa Yomo,Fofo,Sylv Po,C,english,Jamb
2018,14,_ investigates Baby T's death,Fofo,Maa Tsuru,Mute,Kabria,C,english,Jamb
2018,15,"""Come Let us go to the castle News, Friends..."" The speaker is",Iago,Cassio,Othello,Desdemona,C,english,Jamb
2018,16,He made the speech to,Othello,Iago,Desdemona,Cassio,B,english,Jamb
2018,17,"""The Turks are drown'd"", means that",The Turkish attack will not happen,Their opponents were destroyed,A terrible storm has struck Cyprus,It signifies war,C,english,Jamb
2018,18,"The statement ""Our wars are done"" implies that",They have won the battle,The Turkish attack will not happen,The Turkish fleet was broken apart,Othello's ship got sunk,B,english,Jamb
2018,19,The setting is,a seaport in Cyprus,"Venice, another street",a room in the castle,before the castle,A,english,Jamb
2018,20,"""O my sweet"" implies",happiness,regret,surprise,friends,A,english,Jamb
2018,21,"""Nor sit in learning's bower worn through with the dreary shower. How can the bird that is born for joy sit in a cage and sing?"" The underlined expressions above imply",irony,metonymy,metaphor,satire,C,english,Jamb
2018,22,The panic of growing older. One of the themes is found in the above poem.,anxiety associated with ageing,a forceful fusion,nostalgia,conflict of the way to go,A,english,Jamb
2018,23,"Vanity by Birago Diop: ""What eyes will watch our large mouths. Sad complaining voices of beggars"" The underlined expressions imply",irony,humour,metaphor,personification,B,english,Jamb
2018,24,"Ambush by Gbemisola Adeoti: ""The fishers turn home at dusk Sad without a good catch. Infants shudder home the grizzled ones snatch their gut"" The above extract is an example of",intimidation and frustration,conflict and clash of cultures,man engages the world as in a contest,The twist in human fate,A,english,Jamb
2018,25,"Gbanabam Hallowell's ""The Dining Table"" In the poem, ""the land"" refers to",land flattened by the power of gunfire,wounded soldiers,combatants and the wounded soldiers,pollution,A,english,Jamb
2018,26,Alfred Tennyson's Crossing the Bar The use of imagery in the poem occurs in two broad ways which are,broad and straight,Visual and audio,feelings and happiness,symbolism and imagery,B,english,Jamb
2018,27,"William Morris The proud king: The proud king is a long narrative poem, of epic proportions. It has stanzas",190,119,130,250,B,english,Jamb
2018,28,"In the poem ""Birches"" the narrator looks at the birch trees in the forest and imagines that their bent nature is as a result of a _ ""swinging"" on them.",monkey,child,boy,man,C,english,Jamb
2018,29,"In ""The Pulley"" the reason why God took the decision to withhold rest, the most important of all his gifts, from man is revealed in",second stanza,first stanza,third stanza,fourth stanza,C,english,Jamb
2018,30,Shall I compare thee to a summer's day? This sentence implies a,metaphor,irony,rhetorical question,iambic,C,english,Jamb
2018,31,An action in a play that stimulates the audience to pity a character is,Pyrrhic,Props,Pathos,Parody,C,english,Jamb
2018,32,"Purgation of emotion, pity and fear is",Catharsis,Catastrophe,Epilogue,Exposition,A,english,Jamb
2018,33,A device in drama where a character speaks alone is,Soliloquy,Aside,apostrophe,dialogue,A,english,Jamb
2018,34,A plot in a literary work is about,Character delineation,Causal arrangement of events,resolution of conflicts,law of poetic justice,B,english,Jamb
2018,35,Tone and mood of a poem refer to,locale,atmosphere,setting,space,B,english,Jamb
2018,36,A funny incident within a serious situation is,comedy,Comic relief,tragicomedy,tragic hero,C,english,Jamb
2018,37,"In literature, a flat character can be described as one who",is underdeveloped,undergoes changes,dies abruptly,achieves greatness,A,english,Jamb
2018,38,Dramatis personae in a play refers to,list of characters,order of appearance,cast list,protagonist and antagonist,A,english,Jamb
2018,39,The speech made at the end of a dramatic performance is generally called,a prologue,an epilogue,a dirge,a monologue,B,english,Jamb
2018,40,Which of the following is central to narrative fiction?,Verisimilitude,Dialogue,Objectivity,Subjectivity,C,english,Jamb
