Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2017,1,"""Let me speak like yourself and lay a sentence which, as a grise or step, may help these lovers..."" The speaker is",Brabantio,Duke,Montano,Lodovico,B,english,Jamb
2017,2,He is responding to,Montano,Iago,Roderigo,Brabantio,D,english,Jamb
2017,3,The setting is,a council chamber,venice a street,another street outside the sagittary,the citadel of Cyprus,A,english,Jamb
2017,4,These lovers refers to,Iago and Emilia,Cassio and Bianca,Roderigo and Desdemona,Othello and Desdemona,D,english,Jamb
2017,5,"The expression ""Lay a sentence"" means",decide who is guilty,offer criticism,give advice,speak politely,C,english,Jamb
2017,6,One of the themes in Faceless is,parental responsibility,the inevitability of death,the importance of Western Education,class oppression,A,english,Jamb
2017,7,"Naa Yomo also delves into the history of how long she has been living in the house, the different experiences she has had, the honour of the family, which she thinks people like are trying to soil and so on. She is talking to",Kabria,Vickie,Maa Tsuru,Mute,C,english,Jamb
2017,8,Dina and Kabria hold a confidential talk with,Maa Tsuru,Mute,Fofo,Naa Yomo,C,english,Jamb
2017,9,Mute receives a strange,ornament,letter,parcel,gift,C,english,Jamb
2017,10,"The lady of the house Mrs. Thomas is woken up from her sleep by the clanging of an alarm clock, she shouts orders at her sons",Puddy and Jack,Dalton and Bigger,Peggy and Jack,Bigger and Buddy,D,english,Jamb
2017,11,"While assisting Mary, Bigger experiences mixed feelings of",stubborness and great,admiration and hate,surprise and shock,jealousy and avarice,B,english,Jamb
2017,12,"Aloho has discovered that she is pregnant for chief, downcast, she sobs consoles her",Ochuole,Ogeyi,ACP Yakubu,Madam Hoha,B,english,Jamb
2017,13,"The police commissioner plays down on the cocaine matter saying ""the court as you rightly said has handled it."" What does it refers to?",Naira embezzlement scandal,work schedule,airport drug case,cocaine matter,D,english,Jamb
2017,14,The mission of the white man is revealed and Soko is enlisted into the,plan of work,game plan,mission act,music game,B,english,Jamb
2017,15,Kindo returns to find Maligu and queries him for giving the guards,drink and evil smelling tobacco,a negative advice,a profitable advice,warning concerning the white man,A,english,Jamb
2017,16,She stoops to conquer is a play based on,comedy-tragedy,tragedy,laughing comedy,comedy,C,english,Jamb
2017,17,Tony steals the casket containing Constance's,clothes,Jewels,books,letters,B,english,Jamb
2017,18,The title of A Raisin in the Sun comes from the Poem,Harlem,hope,promise,vanguard,A,english,Jamb
2017,19,"On friday night a few weeks later, packing boxes filled the younger apartment in preparation for the move to their new house in a",white neighbourhood,black neighbourhood,outskirt of the neighbourhood,city,A,english,Jamb
2017,20,One of the themes in A Raisin in the Sun is,warning to renegades,pain and misery,abandonment,right and choice,D,english,Jamb
2017,21,"""What eyes will watch our large mouths? What ear to our pitiful anger, what heart will listen to our clamouring?"" Illustrates.",irony,metonymy,synecdoche,iambic,C,english,Jamb
2017,22,One of the themes found in vanity is,destruction,innocence,dilemma,clash of cultures,A,english,Jamb
2017,23,"""The pepper strong enough to push scorpions."" This expression illustrates the use of",euphemism,personification,irony,satire,C,english,Jamb
2017,24,"""The anvil, the hammer, the forging house, songs and rumours, new flags and anthems, splash and mean of the sea."" These illustrate",enjambment,metaphor,pun,assonance,B,english,Jamb
2017,25,"In piano and drums, the poem is a reflection on the impossibility of living two different",stanzas,struggles,cultures,African and Ghana,C,english,Jamb
2017,26,"In Alfred Tennyson ""Crossing the Bar"" the major themes are",death and hope,beauty and quest,formal education and imprisonment,sinners and the righteous,A,english,Jamb
2017,27,"Robert frost's ""Birches"" portrays that life can be hard for",children,youth,adult,society,C,english,Jamb
2017,28,"In the 'School Boy' the poem is an example of that is, a poem written in the form of a speech or statement made by individual character",dramatic monologue,monologue,aside,tragic-comedy,A,english,Jamb
2017,29,The pulley is a religious metaphysical poem by,William Shakespeare,George Herbert,William Blake,Gbanabam Hallowell,B,english,Jamb
2017,30,One of the themes in 'The Proud King' is,a quest for fulfillment in nature,pride and the vanity of material wealth,the beauty and splendour of nature,immortality of art,B,english,Jamb
2017,31,A character who remains unchanged in a work of art is called,a flat character,a stereotypic character,a round character,an illusive character,A,english,Jamb
2017,32,The figure of speech in which a poet implicitly compares an object or idea with another totally different object or idea is called a,simile,denotation,connotation,metaphor,D,english,Jamb
2017,33,Which of the following could be applicable to all genres?,Symbolism,Rhythm,Narration,Action,A,english,Jamb
2017,34,A play is drama because,it contains characters,it does not contain any story,it cannot be read silently,it can be acted on the stage,D,english,Jamb
2017,35,A figure of speech in which an absent person or an object is addressed as if present is referred to as,assonance,elegy,apostrophe,personification,C,english,Jamb
2017,36,One of the following writers is better known as a playwright than as a novelist,C. Achebe,C. Ekwensi,J.P. Clark,W. Soyinka,D,english,Jamb
2017,37,"In ""The Executioner's Dream"", the first line 'I dream I saw an eye, a pretty eye', is",ironical,complimentary,exclamatory,rhetorical,A,english,Jamb
2017,38,The literary term which describes the angle at which a writer tells his story is.,point of view,story angle,story line,aside,A,english,Jamb
2017,39,An inherent quality of the lyric is that it must,be sung to a musical instrument,be sung by the poet who composes it,be simple and successful,express the Poet's subjective emotions,D,english,Jamb
2017,40,"In literary criticism, a casual reference to a figure is",alliteration,allegory,ambiguity,allusion,D,english,Jamb
