Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2016,1,Constance reveals that she knows Marlow's reputation since Marlow is friends with,Mr. Hastings,Neville,Mr. Hardcastle,Mrs. Hardcastle,A,english,Jamb
2016,2,"In Hardcastle's house, Hardcastle and several ""awkward servants"" enter, the former instructing them on how to appear",disgusting,sophisticated,friendly,fuming,B,english,Jamb
2016,3,Marlow and Hastings are in an argument over when to see,Kate,Constance,Tony,Mrs. Hardcastle,A,english,Jamb
2016,4,One of the themes in She Stoops to Conquer is based on,appearance and reality,destruction,abuse of power and position,frustration,A,english,Jamb
2016,5,"When Jeremy, one of the servants enters drunkenly and makes a fool of himself, Marlow refuses to discipline him but instead mocks",Hardcastle's request,Hastings' request,Tony's request,Kate's request,A,english,Jamb
2016,6,A literary work which imitates another in a distorted form is called,metonymy,burlesque,exodium,isocolon,B,english,Jamb
2016,7,A line or a group of lines repeated in the course of a poem is called,chorus,refrain,repetition,prologue,B,english,Jamb
2016,8,The tragic character is the person whose experiences arouse pity and,terror,sympathy,frustration,horror,B,english,Jamb
2016,9,Farce thrives on,big events,premonition,absurdity,incidents,C,english,Jamb
2016,10,The writing convention in which the events in a narrative are scrambled as they come to the writer's mind without any attempt to arrange them in orderly sequence is called,narrator's mind style,shifting style,stream of consciousness,psycho-consciousness,C,english,Jamb
2016,11,"In literary work, verbal irony refers to a",situation in which a character speaks or acts against the trend of events,difficult situation which defies a logical or rational resolution,device in which the speaker means the opposite of what he says,device in which the actor on stage means exactly what he says,C,english,Jamb
2016,12,The juxtaposition of the contrasting ideas in a line of poetry is,oxymoron,euphemism,synecdoche,catharsis,A,english,Jamb
2016,13,A poet's use of regular rhythm is known as,metre,assonance,allegory,onomatopoeia,A,english,Jamb
2016,14,A poem without a regular rhyme scheme is a,traditional poem,ballad,lyrical poem,blank verse,D,english,Jamb
2016,15,"A short, carefully phrased expression meant to elicit amusement and surprise is",wit,tercet,hyperbole,limerick,A,english,Jamb
2016,16,One of the themes found in the text (The Blood of a Stranger) is,greed and ambition,class and class bias,appearance and reality,mockery,A,english,Jamb
2016,17,The setting of the blood of a stranger is a village called,Biang,Mando,Mampama,Konko,B,english,Jamb
2016,18,Maligu persuades and blackmails Soko to partake in his dubious,activities,plan,talk,character,B,english,Jamb
2016,19,The coming together of the people signifies,oneness of purpose in their deeds and actions,the beginning of value depreciation in the land,secret transaction with the white man,trouble than surface reality,A,english,Jamb
2016,20,"In the theme of greed and ambition, the key characters are",King Santigo and Soko,whitehead Maligu and Soko,Wara Soko and whitehead,Maligu Wara and Soko,B,english,Jamb
2016,21,"Yaremi is in a dilemma, not knowing whether she is to shed tears of",gratitude or tears of sorrow,ingratitude or tears of joy,gratitude or tears of joy,happiness,A,english,Jamb
2016,22,Woye learns the benefits of hardwork and diligence from,Ajumobi,Yaremi,Wura,Oba of Kufi village,B,english,Jamb
2016,23,The physical setting of Native Son is,Chicago,Atlanta,Miami,Houston,A,english,Jamb
2016,24,"At the Regal, Bigger looks at the posters while Jack buys the",posters feature,tickets,clocks,chauffeur,B,english,Jamb
2016,25,Bigger arrives at the Dalton's house and wastes no time in his efforts to ascertain the situation with,Mary's disappearance,Mary's corpse,Mary's situation,Mary's happiness,B,english,Jamb
2016,26,"In terms of physical location, Faceless is set in",Rumumasi,Agbogbloshie,Accra,Kenya,C,english,Jamb
2016,27,"With a little coercion, a touch of blackmail, and a bit of deceit, poison is made to meet",Kabria and Sylv Po,Mute and Kabria,Fofo and Baby T.,Onko and Baby T.,A,english,Jamb
2016,28,"Walter says that he wants to partner up with his friends,",Willy Harris and Bobo,Ruth and Beneatha Younger,Joseph Asagai and Willy Harris,George Murchison and walter Lee Younger,A,english,Jamb
2016,29,George says there's no point to such political,tricks,mumbo-jumbo,jazz duo,urban ghettos,B,english,Jamb
2016,30,"""I do beseech you..."" In the above excerpt, who is the speaker?",Othello,Desdemona,Iago,Emilia,C,english,Jamb
2016,31,"Kofi Awoonor's The Anvil and the Hammer: ""Caught between the anvil and the hammer"" The underlined expression above is an example of",personification,metaphor,satire,antonym,B,english,Jamb
2016,32,"In Birago Diop's Vanity, the poem addresses the need for Africans not to neglect their",past or roots,present and future,nature and principles,culture and norms,A,english,Jamb
2016,33,"In Gabriel Okara's Piano and Drums, the major theme revolves around",conflict of culture,modernity,love,dispute in the community,A,english,Jamb
2016,34,"""Laboratory tests have nothing to show"". This expression is an example of",metaphor,personification,irony,metonymy,B,english,Jamb
2016,35,"""Youths are known for harbouring a revolutionary mind they pull down imagined structures and think they can do better"" illustrates",child soldiers,suffering occasioned,youthfulness and revolution,war and destructiveness,C,english,Jamb
2016,36,Alfred Tennyson's Crossing the bar: The poem comprises sixteen (16) lines which are divided into,two stanzas,three stanzas,six stanzas,four stanzas,D,english,Jamb
2016,37,George Herbert's The pulley: The poem is an artistic poetic narration of the relationship which exists between,God and man,man and environment,man and nature,man and relationship,A,english,Jamb
2016,38,"Robert frost's ""Birches"": The description of the Birch tree represents the span of man from",birth to death,joy to sadness,nature to birth,pleasure to distress,A,english,Jamb
2016,39,"William Shakespeare's ""Shall I compare thee to a Summer's Day"": This is a poem of fourteen (14) lines of",iambic pentameter,sonnet,immorality of art,nature and love,A,english,Jamb
2016,40,"William Morris ""The proud king"": ""And had good counsel from him, though indeed A scanty crop had Sprung from that good seed"" The above is an example of",metaphor,personification,irony,euphemism,A,english,Jamb
